Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,8137.646680261203,981.0707302517079,0.0,7790.792796223479,9343.140915259219,8576.188779260532,8914.070627874591,7423.127931209517,8170.019889032586,10169.497053064879,7892.405553163996,7949.244641051377,7749.974896931385,7814.641227715147,7171.25078704611,8914.756084831006,8368.983838634234,8459.427968894455,6810.449002618427,8638.546705946712,8522.587538145237,6645.732251346211,5672.733418191923,7925.749736898892,6484.801245572906,8960.673893259747,6856.2336483394265,8450.550792269707,8762.045002150933,9708.175327271381,8647.350571991094,8175.229779355702,9161.018504285303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6501.63898439006,986.1109825212196,0.0,7585.736034643329,6963.745640845963,5182.7728103052295,6009.96233867862,6675.446960592817,5428.24017325393,7753.063631373364,7466.288905940624,5504.020933978383,5195.503882761502,6402.975938405618,7171.25078704611,6953.713470440973,7045.120470141967,7740.6967787001995,4668.496848169756,7217.044887209003,8522.587538145237,4228.720094623965,5672.733418191923,6533.534999971992,5906.617205884122,6058.571674953558,6128.433476334081,6836.076059265307,6496.479897042692,7257.428679991736,7216.661551354924,7391.227459308112,5836.016984146753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5212.69323668763,900.9543373094009,0.02005580748192654,6001.359715779064,5555.913187392705,3616.2094405028674,4071.3203321176184,5333.802560126304,4045.0998509663577,5800.21249795403,6024.658782859945,4338.926712851872,4192.977163301069,5360.8089369633835,6535.795673286155,6355.776150045938,5677.023527331277,5451.6951435789215,3941.5902561423513,6843.282298342804,6607.836706104357,3397.0921598842137,4904.528254853382,5927.75087168281,4896.016710109496,4900.217616935402,4811.047267268534,5604.933512678958,5179.981332746475,4958.850927020698,5419.9666727958265,6166.681172734255,4459.441666271867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24059622559389063,0.0,0.07641096503440835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28466703382949726,0.0,0.0,0.0,0.0,0.0,0.0
3,4361.415960269345,901.5311892252989,0.006974754866454231,4624.448430752182,4434.491590313487,2479.69567447785,3359.369552828021,4533.7337152837235,3580.471190687196,4283.13542614809,4626.007424999767,3487.2445956918514,3547.0722323064433,4551.979760068393,5717.526864317937,5890.049640657565,4949.628143279103,5077.245776168953,3316.504599714692,5900.850598439662,5588.45230509252,2550.010925803213,3990.1560352397014,5616.553418883249,4710.391986816966,4071.203141831493,4095.620206316542,4896.1227385865095,4169.4157230958745,3825.434383263451,4371.265253048789,5219.38654507991,3379.0109288872495,0.0,0.0,0.017277780952776642,0.0,0.0,0.0,0.0,0.0,0.007533030894909592,0.0,0.004841054950018186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16148973662432992,0.018101042571592584,0.0,0.0,0.0,0.0,0.0,0.0
4,3657.063225120584,874.6433279197955,0.019265889340143158,4624.448430752182,3899.300825852689,1831.932367840102,2655.0397681914633,3931.001772515704,2912.1447781881066,4227.165626394337,4151.57061968827,3051.128600322265,2886.633304494886,2750.9693682876955,4939.114981161961,4514.121286614506,4124.972325975511,4277.194574025023,2887.404935407901,4867.805801446712,4580.73464748011,1993.3782648888455,2691.177236849881,5160.808875713864,3891.109897457193,3932.9783697292146,3958.464323603825,3829.5209319229984,3336.273669086806,2825.150608402972,3633.5348553518006,4605.177929997221,2741.637775973473,0.0,0.0,0.0,0.02756774919554112,0.0,0.042987219775568325,0.0,0.0,0.03370775816590563,0.035620921505773465,0.0,0.0,0.0,0.0,0.041639348569167935,0.0,0.025885124655147456,0.039804886520228365,0.0,0.0,0.011198852002557269,0.15226946272032935,0.1005709957896463,0.0,0.0,0.027280788911251814,0.023070521550952402,0.00682779534992933,0.009545255492295963,0.0
5,3172.0183514240794,843.4849013211059,0.03402187154311064,3897.8347211708274,3021.4378762872166,1693.2908455997517,2345.6623499782036,3299.785949279547,2356.133657842514,3624.229515550172,3102.1392215508445,2554.6510918879294,2514.4492750274726,2337.4221446781557,4311.37396858453,4514.121286614506,3337.504746294246,4277.194574025023,2288.547733751564,4196.3601317002995,4552.536012637719,1743.2054099656723,2309.097617421294,4757.739795792706,3539.39043564416,3265.8825363333017,3743.4540363450465,3168.7241034824206,2624.252100839907,2562.1554223356525,3121.892052017324,3744.49710109578,2355.5848289885944,0.1268592576229616,0.2552194772927255,0.0,0.011337182033093935,0.005882322946139784,0.0,0.0711253535336904,0.12252703088538544,0.0,0.0,0.007362376573114417,0.0,0.0,0.0,0.04864176688770794,0.0028507603177784927,0.038555408864974196,0.0,0.022578878883658022,0.0,0.04465873775448806,0.0,0.24310025146232622,0.00791232753721298,0.0,0.0,0.012045013698062093,0.0,0.0,0.0
6,2672.7489130332347,758.6607409706141,0.04646595030911719,2728.8514976543984,2425.940763538475,1492.7818348604374,2033.8269423934894,2768.734086392742,2279.519523776233,3026.9940430505285,2838.3278692888753,2163.891203802274,1660.3230934591013,1867.752921334595,3232.6026662858003,3858.2771433566973,2984.888340507036,4057.7513216028156,1997.6712035268865,2792.553896443092,3742.4217126618023,1513.6622378720488,1855.9087807668795,4696.966879578463,2798.6428066540366,3191.8841513413595,3199.217645412005,2570.527560369734,2278.878904142747,2055.3609724812336,2962.937255945482,3039.6815499750746,2065.688582522707,0.0,0.2347044635071397,0.02551245579232315,0.03704904410007887,0.009597350498051185,0.0,0.042006064836875474,0.07533841744350477,0.22784916121116372,0.07832597857613079,0.0,0.010553423217586441,0.0,0.003715079689943095,0.027581909281755065,0.0020300157336445865,0.06005028809652722,0.0,0.0,0.0,0.049371035416929554,0.2540834698730952,0.2243624764152784,0.02796677053452374,0.003881105048964956,0.0,0.0,0.0,0.0,0.0
7,2360.527427860608,676.0115126295356,0.07047047740223272,2367.817033435392,2137.2916019186287,1492.7818348604374,1659.6675083659152,2215.7329980417558,2048.1042130289106,2481.197903903794,2559.028509219384,2002.8800403567834,1501.8866787082648,1845.8343299718433,2768.5507072120718,3552.814795088058,2670.90910569605,3430.652281588178,1700.6880194331577,2428.9471905705154,2989.242410159946,1251.3508578183205,1579.617184346085,4153.550994929828,2798.6428066540366,3175.4285886476355,3199.217645412005,2304.042165462019,2128.2803506965342,1638.6304407367984,2446.904623888898,2420.030361299887,1866.099654367101,0.23277422545333462,0.22549165104233412,0.11598250496254478,0.001459489141087639,0.0023108024097267285,0.10749396312250376,0.04354318855803159,0.08319722654479351,0.2840895513343324,0.03527478416466121,0.0,0.0,0.005266796955460152,0.01716314330337253,0.0,0.005285506705230452,0.007037592794018408,0.21455842369763178,0.029826412503083332,0.017533606533767173,0.06343981994941456,0.24462649100019104,0.2560153454523457,0.0030651751531421143,0.010036406097739845,0.0,0.0,0.10204301200404313,0.0,0.006599203184191429
8,2058.0175964694836,604.1863201793685,0.10319544616760888,2352.4788940001454,1871.8404352162493,1239.2653681527618,1410.1164140376934,1922.0490579193597,1838.8587777832129,2481.197903903794,2202.6841091295773,1957.756243420765,1279.143737667514,1541.0155079709318,2392.3024806084386,3144.585944302894,2560.028916825321,2449.734374238219,1453.2020494162314,2086.15793269573,2532.1538699823263,880.1804931240097,1304.2043113238653,3808.2001648239025,1895.400821127868,2634.547216122799,2654.1066790108134,1985.7835624086647,1913.6073757432819,1638.6304407367984,2268.8077790988723,2420.030361299887,1622.4566719925626,0.21258195218384163,0.24696575365914444,0.011974239538812104,0.0,0.2759796981786241,0.0901105789493379,0.0,0.07650990227479035,0.17942180793794857,0.04622636604512134,0.09328573055864345,0.0,0.08161957986290183,0.29536990122459256,0.23964218438589577,0.007788478179818231,0.05251235633035413,0.0,0.007416981585614908,0.26302285992079844,0.05649654998220244,0.0,0.0,0.31369595659766714,0.2570192313403774,0.0,0.0,0.16277215971136036,0.12545111658041858,0.0
9,1823.341840279427,506.14746187974845,0.1343243019884377,1953.4998666318218,1706.7897023182009,1224.0186255613198,1370.929975196791,1752.5250806937984,1490.416077171182,2308.178113059557,1582.279854801168,1655.8790608792567,1231.4243046254646,1530.8025242965757,1906.829400501953,2611.6278334913195,2129.736160262182,2078.1936040882565,1453.2020494162314,1725.3028576355034,2444.4216091063067,880.1804931240097,1304.2043113238653,3305.5313901377663,1755.3215399907867,2328.438519458694,2596.6134059785936,1498.2780718699892,1868.7733278041032,1359.1388125387787,1837.1195636524346,2322.5038990205567,1488.0951737463417,0.23837785004429607,0.14203522407327682,0.09011804397239642,0.0,0.2492405958129727,0.013739313908173276,0.0,0.0694427364753937,0.2414246713084521,0.12765418018757224,0.0,0.017011296558203343,0.07609752684706915,0.26708019324264626,0.19385589795544744,0.27728720679722546,0.06138742822545761,0.0,0.0,0.32967534598383985,0.04921183720782156,0.2371040095670723,0.1973843793460365,0.30823868524145265,0.2579355453867578,0.0,0.08637862010827443,0.07051066536011824,0.19396509400266201,0.23457271204051355
10,1597.0675847008142,454.18741376015595,0.12529990744471767,1549.6427531735742,1463.3059699225273,1061.7250041771626,1196.0059565729264,1619.5741345743702,1387.8691476693211,2055.0549867007403,1336.6572183378235,1569.389851445935,1155.4414070817047,1505.555457441644,1906.829400501953,2387.4496889911475,1584.6810614513574,1514.7226272526068,1145.4540294412511,1536.8056851190877,2079.9334940139483,827.8875459113397,1073.1563258151323,2782.3012584164303,1486.5408069828543,2058.5237253853393,2300.778813933658,1255.0325418434654,1731.871924825843,1140.895574631909,1678.4390978412678,2322.5038990205567,1197.9981525475446,0.20811364687558012,0.2648673317100515,0.0072768203289850595,0.1467128864605228,0.26657771815109066,0.0,0.15854490411776176,0.0,0.22739740380628043,0.1797775842313591,0.0,0.0,0.08186290689678516,0.28049585551862366,0.2351122447327487,0.02535136725342669,0.0050441709406428125,0.04878664402208021,0.09717230784232896,0.2676286233624033,0.13017808934785285,0.0,0.0,0.31506740415184487,0.26985694881015676,0.0,0.10905410217837404,0.07851421124446062,0.14036835531216882,0.21523569604600054
11,1436.8275122864923,455.25937100585855,0.17417104028614194,1382.2493326393646,1463.3059699225273,987.9572201682495,1095.0180757328264,1375.2766007899274,1387.8691476693211,2033.4550926013824,1210.7256135718612,1338.4816076554255,1083.4831207954035,1303.1406651320526,1797.3992841817135,2284.06658999716,1584.6810614513574,1237.7835496309826,940.7667958972168,1203.0324458974885,1855.6210801866275,774.4088292204685,834.9996153564542,2779.0200368941023,1116.8447913101818,1764.642844680033,2066.2624430105097,1096.9452815120512,1533.031231293991,1125.7964141793566,1330.2906208240436,2045.6721065231854,1072.5978998695082,0.20580525988345022,0.2514059526806021,0.10176971391764134,0.1424777799903721,0.2712678654658173,0.0,0.23925443174724087,0.24621805885845172,0.23096367802920587,0.06511433879941372,0.1990838074076849,0.09839454151716517,0.1493772725166417,0.29860709441294875,0.19015904285445914,0.2696064672324203,0.0,0.29174660273880454,0.0911933483278137,0.25260317958834516,0.028858163553917227,0.2432871614948577,0.24704132339068538,0.2780854911566719,0.25048543649106597,0.22646508221600448,0.06418122779226293,0.06711798435947873,0.00686697939769333,0.21769392276314312
12,1313.99071497918,405.4973748386528,0.16332751955587652,1217.3741315783338,1378.7057686422436,987.9572201682495,935.9915351102234,1269.0315322122196,1387.8691476693211,1606.8443745537706,963.1108537432716,1338.4816076554255,867.5951792052267,1303.1406651320526,1731.3470275454436,2126.2208861285817,1447.54553793429,1237.7835496309826,940.7667958972168,857.0084925097361,1855.6210801866275,717.9409096330123,788.4263921139313,2345.712766396298,1116.8447913101818,1453.5380980809282,1801.4100543147918,1010.585009131361,1533.031231293991,945.3588797191026,1254.9312811025827,1954.9931385112086,1044.5535122647962,0.18873749886552507,0.1283574698050254,0.01748354108613262,0.0,0.2863324794858705,0.0,0.1563036429192598,0.21950065753846187,0.2983696374646206,0.04718074426649688,0.2491844076460502,0.015471272898276692,0.03225975883054321,0.2609338383330448,0.24148563140254178,0.3094893099968025,0.2391516362542505,0.28237049336588055,0.09679102419999819,0.2670653193540971,0.0,0.22777673862422526,0.21703348433071354,0.2847782012633454,0.26594392461281696,0.21566313100726034,0.12303393875858507,0.008797545986001036,0.0016873011588166128,0.21864295722165505
13,1181.0941306746763,375.39913725167156,0.136209472602225,1113.5393096703276,1135.5767836840578,987.9572201682495,771.1442592897959,1017.6815512271518,1209.3875004586816,1420.9877977757524,951.194737691215,1265.5544040592854,819.6217219617563,1259.4073705017943,1469.614750047105,2055.1639086693554,1192.4394560941953,1197.5022091079954,782.6109504920132,728.3491799314518,1392.6733542837612,699.7227509787651,667.6842745739872,2345.712766396298,1116.8447913101818,1435.0277311623838,1533.6482712496013,940.1741531360684,1466.5281546300052,818.1750830572901,1254.9312811025827,1471.5078676797502,912.4603298494404,0.1756124908692249,0.2266879303229823,0.12559480734823883,0.2247507951689437,0.25961066298956614,0.0,0.12071197742282058,0.21550542099013648,0.19743370591031792,0.03978565238366548,0.1483935943241341,0.0,0.0,0.26358540639269556,0.17154275715850617,0.0562679059205549,0.21061080629077542,0.035190783412115324,0.07896053199065545,0.040093395142315656,0.0,0.21479220893016998,0.2020596166593645,0.29823127427146845,0.27877619502819245,0.19267996714046173,0.09922027882509225,0.0,0.0142148745996372,0.19597113857471465
