Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,56804.47964685122,6000.846391750665,0.4282353490642013,58100.41828583532,60722.58544733754,61045.701158438154,66647.07936391167,44517.043150673046,49854.98671904145,64502.56500115785,52467.12295170019,53999.25294001277,56079.79977548146,54305.82436236606,65687.03300959633,65608.67960763325,56953.71895378754,61157.18960079482,51342.51476351531,50544.973973348395,51098.75898024393,44265.432087208785,47527.115785641436,53826.56352870724,54205.559484870995,63748.822164612524,56469.3480922231,61624.33378452547,60982.66212939384,60161.60990502107,59370.842337912174,56815.19484814555,60501.65721239909,0.1268525170439157,0.18944705643394114,0.19027800943785658,0.5675025586623297,0.4249141954112467,0.541884850633257,0.4054652651915689,0.44621779500112635,0.5577817980832691,0.75,0.3672734613030612,0.2798719396568281,0.75,0.13189788171072905,0.75,0.07706439125723609,0.4043266404670345,0.6725263989449,0.43473502602501035,0.5,0.45359664360432705,0.47224479020417337,0.6124748321053238,0.5086873992539916,0.37323511257013764,0.3930431584915489,0.22697308002412578,0.5,0.2970741139825401,0.4416915564265628
1,51420.86294824826,5714.290794511846,0.08958855972895845,56117.206297975834,51596.23025067399,54628.18687578528,56085.534753589636,37615.92785520334,49854.98671904145,62360.55085950526,50563.130208431176,51492.368451713875,44451.29734485566,50946.14469661301,52335.32822950456,61835.580758877,56656.164984967654,56069.12699920773,50970.535221030084,42018.68925228181,49129.29056645169,44265.432087208785,47527.115785641436,53826.56352870724,48313.59330068288,50936.18775099485,54025.78436634106,46881.48469656628,56246.16430195324,56918.16843647066,53897.620625074174,40057.19011319916,55004.303128898726,0.032279134418475595,0.12223057017452,0.02484802743862139,0.12088759588928863,0.028033784631789068,0.050239436746167966,0.07068677644074499,0.04876315188513011,0.15488551706679843,0.12895631604397506,0.12418571975352814,0.20614840723804284,0.10780980292037462,0.056404098206345406,0.07050842641887503,0.10561049083047991,0.05098059401041604,0.062374838692003054,0.15899337756934964,0.13228112756473262,0.04266433492163857,0.07117342429571996,0.05831743065477029,0.05086743587682435,0.10147743926053947,0.1763568305594252,0.06030585360880733,0.1448252395665743,0.007115530128531793,0.11744607905626338
2,46231.57698220634,4527.394428873837,0.08020311761848843,46917.05843570382,42597.54517567602,54628.18687578528,49529.16847597459,37491.76654537712,49462.04703593633,48797.66107262584,47573.90962714871,49982.55862183663,39841.28133617407,49693.85893336712,48041.778437034955,51272.67028185977,44660.75880370704,42981.566946721585,43900.44139362012,39118.28198879421,46020.06545587471,38093.35611576212,45683.2169382135,53826.56352870724,48313.59330068288,42884.52069105936,50911.68604978745,43645.544958990664,42804.41228323294,52130.29883611727,48489.0097478601,40057.19011319916,47597.311459359364,0.06495063512802526,0.07293003345642364,0.035613756284910966,0.09656409522329117,0.07114707001337851,0.027128507111543253,0.03739736786778233,0.06582981781737228,0.11050673892699114,0.1245345791086799,0.09147189015268681,0.17506232877891625,0.06068024798493075,0.0740336363843487,0.0176448723254614,0.09788186833068849,0.18819778004747006,0.105176868687912,0.08757666510817885,0.1047260624019429,0.019855715228753526,0.056030405613247056,0.020072749744862842,0.05923274140125298,0.04945310529604441,0.09514863849178304,0.16324216223945148,0.1741639693931894,0.020427904770219312,0.0394113152349137
3,40863.720569616686,4771.349468408227,0.08495113571127391,44812.3460998568,36108.88486019985,49153.875266152994,43163.18354143653,36318.69012625472,46431.08300846396,47381.16338853443,43495.357945465956,43725.32324358405,37194.429686901145,36450.444200460435,39697.39545836589,47420.40040542764,39346.20336804627,38465.597941300504,38790.651677285394,34962.50115858478,35863.22270790672,37553.209383126734,37623.40815877769,48839.60285605277,35405.04959713193,42884.52069105936,40490.09321581972,43645.544958990664,38436.16994557265,51231.65877871057,39782.12665098837,38417.46659157127,32822.01217647093,0.14346994296912102,0.047456063285171435,0.02621245944234212,0.02427367929804696,0.15899342800336635,0.05709242480339044,0.00809664156428016,0.13013467770503934,0.1107663974045762,0.100598817044956,0.10462204067639433,0.13978611690329656,0.059437450115635636,0.056537995483056644,0.0,0.06644629140595157,0.2938335081354684,0.10867792486682143,0.0958486980714047,0.0006764177246190624,0.056888451552553204,0.0040127741802291166,0.04287514271983775,0.11789297878201535,0.05041387904400628,0.16887076212828872,0.12707145171875356,0.10156996486449929,0.12865407253094255,0.017323618914153616
4,36046.47233009849,3842.2753988864733,0.10243835683815619,39106.300796221905,34954.23004776122,47512.75969037024,34039.665063310036,31934.262867301193,37527.588242907594,41932.31782243476,35506.644040997075,38464.51166383971,33372.339966470725,36450.444200460435,38817.29128662038,38449.559828482175,36688.1535330083,31017.629206857142,33539.52933776502,33453.51703677597,35606.846555506316,36155.41747989594,27810.629832599072,40677.42563894116,35405.04959713193,37605.31121134261,35065.237450620865,33480.67123506952,35002.71025315708,42168.25760540965,33936.09648887477,35525.11488035894,30188.65704246306,0.25437598666441563,0.012894170412136217,0.0281373218366642,0.07209761618727589,0.19083402169710048,0.03458002082319814,0.025273052540108816,0.14285975274641144,0.157803466459664,0.058164970954322166,0.08092935076928595,0.14699108512133113,0.022952287858443075,0.11255000363357665,0.007688230405039139,0.09966284010864904,0.27815877469772804,0.17387839991567514,0.15220839382699758,0.01758244355122582,0.12687091318971308,0.07209166421206617,0.08542242533138458,0.09061245658834201,0.1161135549627827,0.12318589714867025,0.1976735426573902,0.05783358910357543,0.08403661326394704,0.049687858477565475
5,32346.877553579525,3800.270946281651,0.1127219935694905,34299.23640799056,30283.373758336475,34488.86008047801,34039.665063310036,31737.31383101791,33045.74047535489,37579.79717102231,35506.644040997075,32376.157828388183,33372.339966470725,22082.655402839377,32679.651184896713,36770.32462461112,35062.27731964793,31017.629206857142,30529.264660008288,27726.168958276794,33790.03239804125,32834.9417969151,27810.629832599072,38346.74045192454,26164.193860309497,34765.5611304891,27852.268750191684,31006.249262015986,34033.26089516596,37571.661248764794,33460.181136820574,35237.59558563805,24935.91027800658,0.20323194639196945,0.07080804557456842,0.11742045938680876,0.10763214489867132,0.32404007804603424,0.020978596203931187,0.02281704730199477,0.17250401486520966,0.12671008266803702,0.15066940781462598,0.06158322421382417,0.1243676971047957,0.010505280688214986,0.1270438100847158,0.020788684309164803,0.09329364329561429,0.21631458595415254,0.13248729459022285,0.18048571429039134,0.09349103061263295,0.16103012702935704,0.14808525765325994,0.11412031914762177,0.04177317499227236,0.08835069067566793,0.08743918288999736,0.1852078969311783,0.0194024715492154,0.13181945616765017,0.027258441752914777
6,28370.64084382136,3916.4622665236457,0.10593359905528911,31605.41816050896,28875.474728143614,31837.210128284158,30498.882443019796,27962.635354631082,28638.016917337736,37063.421552243955,31863.06315263484,26301.099647803978,29266.919190128294,19812.02460697728,30575.53366109202,28359.044640005523,31655.49753672503,22689.275860970185,28871.506380085004,27726.168958276794,29305.639759607504,27848.136383873258,19882.476344681138,32918.22587245193,23035.936947088758,30710.547812845278,24467.594614291527,26475.337452482883,29292.373820168894,35416.917865705465,27703.84962257835,25805.531613665084,24655.4642863325,0.09990835051521818,0.08947179194850621,0.047113453085141026,0.08425791131010082,0.2539114852258486,0.018238854485990594,0.02405823569481761,0.19606383177160858,0.14236351763978405,0.18764081618409303,0.042230770643942345,0.074916531308989,0.042416075502725185,0.10870842835807601,0.10003970691864877,0.06601382592110587,0.16080435937198048,0.09207553168043409,0.15496534244375343,0.040509930953658124,0.1841719849893339,0.15800238270426978,0.12274267146036419,0.045168036386962006,0.08358276239853803,0.10697492225728493,0.1337446876937596,0.10748333383064484,0.158951941826726,0.05147649714636769
7,25504.527027851444,3901.341276070424,0.09399430066106097,30110.347834672022,24651.447601538795,26662.75985693591,30498.882443019796,22199.59724125243,23877.271920717078,29501.424158120597,30918.566687395687,24361.99254143036,25861.771501546948,16577.380382356103,28468.680916975125,26394.280555371945,28389.302381779555,22149.164634534744,26783.4392301655,25854.000709331332,28069.74855110379,25989.712014460707,18125.561957378995,27399.55764952023,19690.143950693506,21876.805958781457,20506.237114275606,26352.956707684567,24448.76861809868,34587.38368865065,27184.118668499406,25805.531613665084,21838.973745586525,0.054056357390855465,0.0954190446801652,0.022619059433508434,0.07705036168601667,0.20932782749109338,0.00948518091518958,0.02540593952129383,0.1854953174740497,0.12377856443159788,0.16806526407417016,0.04522020692760724,0.08338092720259525,0.05022380326159632,0.0721791955887444,0.1406645505403424,0.04135078915894657,0.14150613522589936,0.07116397614207201,0.10614397241245006,0.040964697053504515,0.13565779362238792,0.09608464698105562,0.11443519410401425,0.07293667022990696,0.12489010266931849,0.08743183069901753,0.10682507790548743,0.10930925432623498,0.17583171952844862,0.032925559154259626
8,23217.126578581523,3129.1842005034237,0.0832195431639209,27250.7356538119,19695.441178769557,25116.68215074185,27347.55212946573,22199.59724125243,22410.96264097731,26878.95073554641,26467.32057971831,22641.041066807873,24334.233850142093,16369.82243937512,25478.405856541205,24738.162935544202,23815.367317132448,18375.824485184017,24968.766638681045,24344.066279927418,22626.363044532667,24546.610716008967,16603.359004384303,27399.55764952023,19690.143950693506,21238.189504562735,20506.237114275606,23940.965325785648,23763.730100198754,26090.849204969927,25247.09968071895,24850.1203799419,17577.638502233534,0.06768558345112269,0.08693685630188167,0.03783326098616934,0.07829513534195827,0.1645824739375465,0.02101807889433703,0.024963144777073256,0.15859014744321745,0.08169089581852322,0.15042980630013736,0.04279692747345504,0.08689908416935127,0.02540103469411322,0.06920856907341733,0.09223435216386017,0.008581676416665296,0.1343191324725014,0.03623192979516366,0.08631224133682974,0.04181811997526316,0.06799662416047307,0.05392855381932351,0.11243357408730198,0.05679347069303056,0.14694610703739133,0.1770060750071809,0.06882072375733399,0.1497533564055511,0.16102530540005067,0.0060540537274029515
9,20529.959534545465,2883.4601292846282,0.07274955033642509,25759.610759234914,17038.49461476491,21690.826091601706,23674.51888416444,21276.10757234087,19385.36347902045,25800.07164523202,24026.9689280015,19761.455615257084,21542.87991881925,15047.945203768557,21037.991211399432,22446.428716297356,20482.711224725015,18375.824485184017,21975.447233761537,19614.550910032103,20116.995618723115,19107.76481173076,15348.130240382632,24225.32899219487,17343.884821253978,16499.370899317186,18969.03794771393,21659.722913622467,21542.839327027115,21927.834429181647,22459.158176927067,22666.49116502544,15095.030199658562,0.09456247301099292,0.07399360750068279,0.056362145370354104,0.08807109286890699,0.12660522788481,0.028563479343502552,0.01151307185818843,0.11202596697345991,0.05005322670339193,0.12631900601738255,0.05316553396610392,0.08306436492424056,0.03747031589468695,0.047728514299042166,0.09924330304877564,0.009352505024984142,0.12759164911415172,0.0031503423646870622,0.06314141982847764,0.05326424657284452,0.026161175965070223,0.05435888204810539,0.08834209459887907,0.07003956221628208,0.10667912451912587,0.16739144082906912,0.06934358671172573,0.11980976838299454,0.11003639899500045,0.025082983256833755
