Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,8137.646680261203,981.0707302517079,0.0,7790.792796223479,9343.140915259219,8576.188779260532,8914.070627874591,7423.127931209517,8170.019889032586,10169.497053064879,7892.405553163996,7949.244641051377,7749.974896931385,7814.641227715147,7171.25078704611,8914.756084831006,8368.983838634234,8459.427968894455,6810.449002618427,8638.546705946712,8522.587538145237,6645.732251346211,5672.733418191923,7925.749736898892,6484.801245572906,8960.673893259747,6856.2336483394265,8450.550792269707,8762.045002150933,9708.175327271381,8647.350571991094,8175.229779355702,9161.018504285303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7196.584499140353,1087.2453614893416,0.0,7790.792796223479,7697.262988044536,8576.188779260532,8012.607478946508,7423.127931209517,7062.750122805593,7976.930749263905,7621.636136033541,7949.244641051377,7383.301914899548,7273.07001535342,7058.031873499779,7355.065040081694,7797.658498182159,5600.221140704329,6630.027662006868,7189.2451096524455,8362.214248412936,5266.086190520047,5403.40181079298,7925.749736898892,4068.1985560075955,7736.141362848612,6856.2336483394265,8251.57378830911,7889.985996579729,8521.352420158873,4944.785055915759,7356.566327100707,6918.082955106682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6220.224438852663,940.0923550909773,0.0,7270.642485378431,6461.023872997546,7090.739527990816,7062.351072007915,6928.866106386779,4072.947062239106,6200.78059882676,6612.66672580991,6951.904386046486,6268.076067885249,5645.227889105581,6732.7392218168,7041.747610327409,6764.298943021172,5600.221140704329,5414.982414724715,6456.768587228937,6598.56950659346,5106.256598271973,5075.748959657679,5734.122517791773,4068.1985560075955,7556.280158325003,5874.434912449391,6852.766260982715,5963.120813564882,7339.179699741511,4336.043942229508,6990.187086150132,6535.840441316357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5364.011872148593,750.155626218095,0.0,6608.80463359897,6158.730849666156,5543.634528071379,7006.461870075547,5661.002615923113,4037.100768394979,6200.78059882676,5729.68420670852,5891.454049766074,4681.0514596986395,5645.227889105581,6029.557327943234,5841.331237612572,5162.903199192939,5169.757025442961,4441.491576406319,5975.813538785459,6057.055711222295,4639.127044198512,4497.645165878386,5403.984158785451,4068.1985560075955,5814.495122980786,4841.71152755486,4489.491395154924,5086.322679948863,5295.886748979915,4336.043942229508,4725.472168509559,5880.134567787956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4584.393425723727,676.4658703332856,0.0,5081.1531473316745,4520.18444790305,3652.758382679972,5581.340294634607,4686.972180773839,3668.5412219108816,5904.600449556399,5120.030749788744,5086.599424087981,3912.9688778838668,4741.174651190931,4999.889761801817,5643.061411600724,3483.389204994728,4599.570316559427,4224.08110419801,5443.866034454145,4005.5835942373283,3767.4185939697163,3693.8188833384397,4604.012249125628,3891.513667610032,5223.217248000054,4277.382803266469,4489.491395154924,5056.953024838683,4990.938275119106,3458.4188680483744,4725.472168509559,4997.40033914267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3893.1036396131085,606.4768830494385,0.0,4752.22159453734,4218.856858042441,3652.758382679972,5020.732155929091,4436.098125371899,3668.5412219108816,4882.800913574959,4477.3703231266345,3391.965136080798,3762.875295823814,3907.302249443391,3332.016144644157,3452.419661627837,3483.389204994728,3976.169968118268,3886.0666446025734,4092.2955241531845,2503.08000915684,3535.8298234632093,2830.027641301863,4342.51432441894,3298.688324929216,4927.949257573397,3691.9756962855517,4219.00934814581,3409.4264541054567,4403.9130800226685,3458.4188680483744,3361.800754248473,4416.596202031511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3320.3643120141487,584.0317587714397,0.0,4032.7295794827583,3470.1906142901603,2474.6852762567996,4228.375441047775,4240.832184841502,3457.0630358101494,3681.2243900328262,4370.633929192331,2990.5103813715286,3552.2301231389843,3854.865221824258,3016.494862650207,3339.9333149965028,3221.670392198617,2728.0484908920826,2495.901748501502,3349.2886052176964,2388.3684883099177,2709.0228365748767,2737.4000270579127,3259.3430446383563,3099.0046902448958,4346.748519929162,2571.9594601677513,2666.2661967879417,3409.4264541054567,4108.2771802596535,3282.9211108990153,2973.0974861802597,3554.4162735235664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2869.9082164600386,432.3897108505965,0.0,3408.831818001857,2513.796675501415,2474.6852762567996,2506.5587679726136,3055.129578029523,3024.0557060169626,3237.2816987549613,3697.300262678553,2673.9394477852716,3078.786975057498,3327.790909322972,2682.55924422948,2794.5672977499567,2362.555220731584,2699.3030603698626,2495.901748501502,2881.3347084913794,2186.222684868239,2702.692456900658,2181.1490413002416,2969.83094101703,2151.5991769908696,3486.4319442417827,2571.9594601677513,2641.9132666213404,3153.4265502044145,3697.461833456002,2996.420746531333,2889.3437225257085,3554.4162735235664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2558.0481204014845,344.7126290520351,0.0,3090.1744435199244,2357.2851986036835,2474.6852762567996,2412.3576300371524,2698.0222053277867,2738.4732588084225,3062.441103031132,2896.7822640920303,2244.581711232041,2738.0725137623217,2670.3594544712514,2408.9483712535807,2681.271677966661,2362.555220731584,2698.716710983284,2211.799732682585,2851.159412512255,2117.6429879525767,2407.1236197072644,1783.15087581847,2769.275142205552,2151.5991769908696,3172.2385380205947,2429.465007681636,2530.364804604089,2476.772587786875,3050.436104853949,1967.0636241542936,2248.9555467109667,3039.669410284894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2276.624586655261,336.65477216923466,0.0,3090.1744435199244,2169.9103160701907,2169.6438554657707,2016.834968861854,2635.3839326184066,2530.281364364678,2596.5272867060535,2232.691626301773,2244.581711232041,2333.3108941915866,2401.673776073331,2017.465168195492,2129.683837107522,2362.555220731584,1958.5423910505574,1879.3481698310331,2518.3736286501353,1636.1430340340514,2027.1684412604866,1624.1740887556473,2621.5327744415713,2061.1823344236946,2778.491608657189,2056.1527088633934,2244.5256449448966,2357.674042766315,2742.970537010408,1967.0636241542936,2152.4311638821314,2742.2450054918095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
