Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,512.2403168252138,54.007617521808065,0.0,523.9037648204419,547.5032688156103,550.411310426203,600.8237142794851,401.65338835604456,449.6948804712411,581.5230850107871,473.20410656597215,486.9932764601149,505.71819797933415,489.7524192612967,592.1832970865287,591.4781164503577,513.5834705849808,551.4147064056365,463.0826328716138,455.90476576678617,460.8888308221395,399.3888887849156,428.744042016416,485.4390717563631,488.8500354890195,574.7393994815174,509.2241328202987,555.6190040606614,549.8439591644809,542.4544890794556,535.3375810441,512.3367537181223,545.5149149064913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,470.5555607386214,63.37988537106406,0.0,523.9037648204419,529.3979511753917,524.5541407344249,506.634348472423,401.65338835604456,449.6948804712411,515.9250350133448,414.8292264036741,486.9932764601149,442.41180583435045,439.3313798851641,540.4535193510012,555.64097564964,506.7952159710472,439.96858198554656,433.7527726421781,455.90476576678617,451.4996354564416,358.2547912780154,378.87589149008227,484.5288662728784,290.3829708786402,503.4173602869452,509.2241328202987,544.7766401156198,519.5947499651849,533.6054456870024,368.0723148611331,487.3309646616131,519.258029391974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,404.1412021517002,47.20871659768165,0.0,442.68222347706904,360.6478478447731,394.88126794034264,392.847894266998,367.90385856385575,418.2499630131456,410.75562063669184,414.8292264036741,388.3777151716405,437.6236706679151,367.8046721635388,453.3226272909854,449.3398588903073,437.29581545611967,410.59786574077754,375.7865951275975,389.5426347088291,364.99582010245376,358.2547912780154,377.22417875399975,469.63192392068447,290.3829708786402,429.13433023960744,432.11355514197726,443.68253028451653,402.3097849681757,439.97121600846157,268.76467664772275,472.5583722980542,462.72255666443704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,357.37398307957307,41.55734266602587,0.0,370.72998303764984,360.6478478447731,394.88126794034264,386.0589329930981,316.0910111444443,332.7570314987049,391.28295133339515,351.92528933181427,388.3777151716405,384.89379079517073,346.76610612490106,442.4034193305428,410.74256630769355,388.6641431055831,382.7623278175316,350.7100698403636,305.44783701573976,364.99582010245376,329.69439355053754,338.1216750152793,302.1425649047151,290.3829708786402,356.8094834395427,311.69254122230797,287.1022362980433,391.53721282182846,367.16203244924964,268.76467664772275,418.63121186042696,389.0403825630558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,308.644525654321,30.918609247800482,0.0,328.07101875248287,337.4027872979894,347.05734477681506,320.73437885778037,281.50806055825905,332.7570314987049,358.07146336495674,314.27411258280813,327.32145832557023,276.8216438845846,346.76610612490106,311.40183565371876,319.65533593223915,362.83634656562816,285.7726658850887,306.1037692401109,305.44783701573976,314.1943702042633,266.80170973737063,285.6952700995955,302.1425649047151,290.3829708786402,264.7055121353352,276.45312698398646,287.1022362980433,311.74204908563746,305.08926326631195,227.2231892900447,303.77448556674307,362.0258248615641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,273.95741457230935,26.539213553985103,0.0,293.0252113056557,296.7930502488786,296.77672994374865,300.0465504149915,276.75612625451254,284.99924559160695,287.07581249333765,289.99180395704724,296.8463671049964,247.96661395471693,245.9509273587802,286.89467602061654,293.24503096418545,302.1103375594152,271.3206985767601,242.24608398922163,266.35007182570956,270.9767476273943,199.36921510878074,221.72447555313292,277.36098390971006,269.83339321543184,250.43196142981267,252.09019779676757,282.9187045273212,281.878613197233,299.5775336307453,227.2231892900447,301.02897255423017,305.91311176449705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,243.5265292382624,21.276525016425587,0.0,274.29474336836546,247.10383092782956,273.7480040803935,239.4854678991916,241.20475917057294,229.4941601286606,276.0428042694779,259.99075524041433,265.1350668568355,242.07623753086187,238.06685037485997,262.1274927130311,265.43051111673327,257.8468430241212,229.74753018558448,228.17058401211784,233.78023250025757,240.08036095976675,199.36921510878074,217.35585040098604,258.52546247149223,221.7037846074753,240.4729949112703,218.4012212683287,239.20081713520113,244.7640644533292,220.04028776615579,203.08450087862954,252.75121897153105,286.3002248156173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,204.81709232954057,24.978197490778538,0.0,240.109779750809,207.74336019280344,254.09089777217238,196.27745053856245,206.96992176477974,224.09973715956437,188.87074934879973,198.96957145346653,213.9934814777325,218.5156130507955,216.37209269164924,203.97972319209563,249.2703328934742,219.35983221699,206.35157078653694,169.96310036246922,205.07511515722797,172.13958813463893,197.58347320600282,158.00525012468728,218.18509820725808,173.32412166052274,204.21313423026518,207.48198954701556,196.54590534095823,219.9484007025002,178.27338277811575,151.75611226661803,196.31992209433878,250.72406178336507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,176.0128619893325,23.64687294826421,0.0,213.18605922756447,188.56831388783866,197.5022299759268,194.75910368149317,165.14862281040396,182.97287051276737,170.53869754125142,191.97988082110894,169.0741523359101,208.87368713882822,179.21960859435762,188.98128937803483,210.99272066578044,200.88396488378496,169.73347178292966,155.42441958250953,150.71739390595664,172.13958813463893,162.23558544176808,145.4435311710964,167.6927849975659,165.11118598542478,150.08537280691922,173.25466219459705,151.65868106221524,191.6664279259768,140.54030882704166,115.63262780921168,187.4784288992617,218.89018769781148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,154.23310686390738,19.415865427793694,0.0,195.12356910423802,157.66900954312788,160.20635140373355,151.89104617382372,142.20355844936,168.05014258574235,170.53869754125142,154.58510361914125,144.79704006160884,143.68161220921417,175.389975776463,114.57226096254968,189.58607421809077,178.52479206748106,134.1852374603116,155.42441958250953,150.71739390595664,148.39822220776202,153.1023377972372,139.10805544351314,167.6927849975659,149.171285549668,143.56510059162122,160.22994670155097,121.91422082434508,172.05837689571493,135.5068583909333,113.96410399339032,177.44922129292854,157.68640656638743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,135.51094100140529,21.157817613704164,0.0,163.17741070001532,141.04874914743627,151.2857127717461,151.89104617382372,130.02860386992785,143.48269707816328,144.24375621686357,121.85686377718591,127.91083383054298,136.38306709353984,159.2450046102272,90.27861865375588,175.15456079990662,144.82387880646638,127.96230586867694,134.92721396814534,129.0835904421787,135.86184309606742,127.84779067220971,101.27126969417166,139.88940881523874,130.69545259975817,101.22043206429434,122.87031774974965,107.2163364916146,172.05837689571493,125.85454854308148,106.25738319799937,174.29109846926454,147.21005794439228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,120.37069633312237,15.55838744294591,0.0,139.148479887525,141.04874914743627,120.82170321805681,146.26339652111747,115.6249122875908,135.2123664636666,132.3351046418138,116.73229035560043,119.73299112847467,132.76694826512878,140.43381398884043,82.62784494859044,126.48674966677912,129.12349706966592,118.3045537556991,126.54165222107186,117.3510348991041,132.84839606899774,113.71893138177235,87.01598517589579,109.18779649915726,125.37668906565254,101.22043206429434,119.70632326572111,107.2163364916146,114.15968583913812,107.60997941448562,102.88219304543425,143.7291286406434,105.8929245747016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,105.45541159478134,17.929904173626646,0.0,134.0433163272011,128.6345175788362,111.48156425448035,118.89144912382446,92.76370153575606,120.94320510108717,127.29226231119108,116.20275164541881,103.19628108787492,102.01640762763596,121.36585589179057,47.41172506873515,109.2236512568994,111.24877415883512,101.63531718528273,116.26944428526778,103.5221527297332,102.38437807902623,94.36787680046237,81.32556400477283,81.67348398231164,110.07362876128413,83.68558808957152,86.20998760391113,107.2163364916146,114.15968583913812,97.29687032434197,97.68308120739572,135.55056491505866,105.8929245747016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
