Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,9699.125382829176,427.5295614324203,0.42823534906420063,9939.685577702901,9417.67892656035,9461.25666502827,9791.552945469834,10003.51125343168,9646.41747159179,9108.829285671136,9578.052713572646,9914.150922061168,9213.312834768247,10056.323764348435,9328.419552169456,10493.94770142795,9458.70593960882,10165.27385609657,10033.046733062274,10178.395609324645,8741.004641651085,9662.001576930927,9949.882116134268,10098.730278071891,10100.765126526227,10030.860337205357,10039.884459440655,10087.576073513286,8971.485205560963,9120.210149976429,9418.873070160946,9088.501124295595,9875.42557351152,0.12685251704391232,0.18944705643393778,0.19027800943785755,0.567502558662333,0.4249141954112475,0.5418848506332545,0.4054652651915661,0.4462177950011286,0.5577817980832673,0.75,0.3672734613030608,0.2798719396568278,0.75,0.13189788171073097,0.75,0.07706439125723062,0.40432664046703937,0.6725263989449021,0.4347350260250091,0.5,0.4535966436043236,0.4722447902041658,0.6124748321053182,0.5086873992539808,0.3732351125701405,0.39304315849155014,0.22697308002413177,0.5,0.2970741139825409,0.441691556426561
1,9181.876087444447,398.288565123261,0.24990467919340975,8392.687824549175,8963.12892291482,9229.235512118106,9204.814178754455,9767.397746095823,9197.243109129005,8857.787181842337,8950.901502486837,9211.883513651968,9100.068118079875,9551.381116629122,9328.419552169456,9679.389262382176,9317.124513403001,9460.471358838211,9360.114753940405,9213.023039785556,8741.004641651085,8870.110148513384,9780.304568814723,9659.331349943575,9646.315295467768,9427.553052608004,9036.976750002912,9442.218286248193,8971.485205560963,8549.158815411258,8733.674898915495,8198.452992393855,9614.625411031797,0.015549927031406906,0.11831472740109936,0.25004486580965934,0.2993264773648263,0.006316946739722007,0.22685171897399345,0.3120815108624005,0.33900812548973325,0.3706287612558142,0.2109073581828821,0.19110697571536372,0.23270984337442852,0.05916671718976496,0.21723911431746762,0.36348258574155196,0.38891462751444306,0.40089779916337176,0.2086926337725847,0.26768743429917496,0.30289375843417404,0.19879520135017803,0.4911960130911668,0.0,0.5623671770006613,0.19528062211360417,0.2533975979217511,0.13239771366511036,0.45978889228473063,0.30451427716821083,0.11758097257301572
2,8800.914896856151,304.75774565475575,0.1504948058155582,8392.687824549175,8469.81836254838,8499.666539309648,8691.778932949574,8954.413152134293,9071.969279446766,8627.10216211737,8950.901502486837,9211.883513651968,8331.35469496127,9230.611793745578,8992.996612913634,8836.876677664422,9103.153012825594,8868.349468525312,8650.020854316666,9213.023039785556,8696.23950461684,8773.217039667412,9106.764937224863,9138.479533682996,8453.523797840675,8646.472346362669,9036.976750002912,9272.992112491924,8463.027910863028,8549.158815411258,8502.746382755757,8198.452992393855,9092.787358438332,0.17303332980799574,0.10678823385184484,0.07607900850748239,0.1988299791496784,0.015455916111002504,0.13383016585321533,0.029281513430334926,0.10358671929581456,0.1696738972418384,0.27961164623033574,0.09284439374621481,0.34159270872230296,0.04946112886031528,0.1664736531397819,0.21807112320556193,0.24287653222636385,0.08563054997245537,0.06496490700292366,0.14579412544575038,0.3112780893794147,0.15576986643400959,0.4184662681226985,0.053084174629679605,0.12417995959098997,0.06591034028935264,0.1649516169057662,0.041156337445505724,0.3417542962677398,0.052283597647934145,0.09213009595244287
3,8361.227672921832,334.7744548643673,0.17049040300380683,8266.902183014405,7986.797819785052,8499.666539309648,7805.382715605312,8740.415359426272,8781.295124996883,8599.419932066236,7835.9456923867865,8606.68696329166,8151.773631390507,8243.666579200191,7993.133887870304,8304.946927542893,8359.61605427519,8054.837222113093,8239.994752505274,8854.019811736487,8319.892424942065,8307.96632857728,8689.436291113263,8997.29717963656,8406.784946140564,8304.722194671693,8737.087548480446,9069.366402929303,8120.567421647934,7786.841065559886,8224.67859212842,8136.966657432317,8410.721937879052,0.4663507791696194,0.004098382529386212,0.011567159298280762,0.20987850469435682,0.22062628115532723,0.23388095360167335,0.04817926014868758,0.20610127398214173,0.09622776810591077,0.09931530504678773,0.04110263278272209,0.3335908793626294,0.32427213446428305,0.22588659014352444,0.1425628301858007,0.25168822112583533,0.05310759643406558,0.0,0.15103342682167464,0.3913470562424127,0.01903461601668652,0.26673573011154644,0.10836824791651874,0.04567813024757392,0.12061874506854404,0.18956526657291245,0.0,0.2835623128415736,0.2890694913195643,0.2812625147241653
4,7877.80167198442,352.54730353591526,0.1905499239169292,7978.024803102369,7942.988345331133,8119.669763009005,7657.033023146417,8199.918617225178,7583.0209019815,8228.851186567503,7545.917158369026,8406.983966880582,7725.579568428126,7629.3147257386845,7486.359387060061,7707.806150718996,8294.527759662777,7937.200460437308,7149.607156599177,8135.019196021108,7582.190673951918,7913.603094607794,8472.64168555858,8168.551769482928,7826.599378303037,7981.497249166785,7548.96813475037,8800.044075517153,7742.26455739707,7677.928538187005,7667.8737338882265,7367.397504216352,7856.667594226429,0.5347965793248015,0.20905477842253276,0.034113997433710026,0.11909865397308944,0.17025590264419393,0.04542691622147792,0.20124180699872957,0.3985818455012742,0.10970617081518769,0.18410376326499317,0.10966038886343182,0.22165179875882035,0.3686399895415402,0.22135039275112825,0.14173944350303486,0.291687855198102,0.14230102755770202,0.14558158140592364,0.1844682566544134,0.4184093706962684,0.07045514486961221,0.059886592762524206,0.2055426892466742,0.07312089263582155,0.16412201535004298,0.11441073889294812,0.039508735314205054,0.12872597580978987,0.43911910968931966,0.16973530340658236
5,7545.594618040236,285.1359405015493,0.21486825692669362,7684.790251871865,7454.338159036788,7702.742307173152,7402.644946497219,7279.012101097791,7583.0209019815,7876.124581147694,7545.917158369026,8241.674343164748,7479.146032737673,7629.3147257386845,7486.359387060061,7707.806150718996,7638.670099086961,7937.200460437308,6761.381929917367,7385.290636274729,7478.206482125182,7745.758024621782,7348.883175790203,7734.2300391992485,7219.429216059345,7523.939026775228,7548.96813475037,8081.786427004929,7210.249552654335,7617.150456736576,7602.973509308308,7338.23608460309,7122.594239266967,0.5004779053834851,0.30536303333221393,0.10473437323223335,0.13396690187477128,0.15239631749298585,0.20522661758046779,0.295265075559274,0.30725138011182235,0.10986799537876384,0.19265239281825744,0.1887778365629457,0.07259060444722,0.26823130114484217,0.2392005452596438,0.09280224206168856,0.29507577870892693,0.27974908296538537,0.270929066298075,0.20404183031375078,0.47264108341625266,0.1007435544688487,0.14424175668954134,0.16625013113647977,0.12718036028320814,0.2983224635249649,0.09373230272697061,0.07062123705218044,0.1887537742504039,0.4641181301963335,0.10084263352886988
6,7163.51340315621,346.3101250255866,0.22027985874173736,7203.938634971418,7309.320641462086,7106.511369636631,7402.644946497219,7092.771891410251,7205.165621513085,7496.588696575737,6827.918551570753,7558.846448143194,7105.216895196958,6988.253871474369,7121.82533349995,6897.621689462922,7103.1748002562035,7742.584239266326,6761.381929917367,7385.290636274729,7478.206482125182,6818.716719739785,7348.883175790203,7449.147245226172,7131.126566433923,7178.6376520123,7400.404935072662,8081.786427004929,6879.9488545594095,6704.961553404869,6327.677975206481,7130.010291170105,6666.838019811092,0.5280847170878504,0.34274523463316986,0.17284702198504928,0.12027106853583505,0.08343007203178654,0.15956119384305642,0.23000156459784288,0.34615921345000067,0.1241402740539434,0.1375050901634499,0.21499159994377398,0.010572310514382082,0.336819132338841,0.35813217739745684,0.11598131514052984,0.31676250891768937,0.11410816111831355,0.26806005836430674,0.251533930154576,0.47871494663706515,0.05055199029565929,0.262712484563034,0.19074613066652366,0.15745407487339036,0.22941434105499053,0.17141983191240176,0.08963815721863917,0.20152528064209138,0.4328048908766173,0.11170698923985506
7,6860.965452452065,324.2137356028901,0.2121559075137416,6664.590845622766,7108.4516976846035,7106.511369636631,6513.662074207703,6698.184681293308,6722.65411179508,6939.489566980758,6588.410278358863,7160.671669436591,6540.634286236663,6988.253871474369,7054.868136639789,6878.6688260818455,6709.138556076723,6842.670074549148,6526.300336272245,7065.36862838709,7385.537567156263,6818.716719739785,7348.883175790203,7389.860640992674,7102.974029996007,6961.481260872964,6723.440731351909,7633.5197792948875,6378.325951842385,6704.961553404869,6327.677975206481,6484.632893375342,6460.422283804002,0.47708879588046554,0.18832184556141512,0.15905421866169955,0.1325657762382799,0.09070441220239676,0.17606025397862815,0.1418737594537259,0.2735933143083888,0.06745083857588316,0.15939941843492358,0.2400765323881571,0.10499770792028676,0.2948593461598082,0.307563126697164,0.12956520755173723,0.320830118189983,0.1234496532023554,0.28890139708426815,0.1859570191324287,0.48095851418930646,0.07669609746450626,0.3177570255451282,0.25615419567697184,0.15064796168712036,0.1973164758632101,0.1649658063810891,0.11409262857680494,0.20509503162799048,0.4043649706214622,0.13431577615666374
8,6592.851363152759,317.48460118168595,0.22244292300172536,6664.590845622766,6961.013976675721,6604.073475732176,6513.662074207703,6698.184681293308,6722.65411179508,6615.746400355863,6396.1145862350395,6883.024170739806,6005.699881663226,6497.057246576446,6617.020594049337,6633.2297246040625,6012.123343204734,6684.673080840149,6505.715905456346,6932.623006624135,6739.694977624842,6680.988664301096,6711.68098239499,7231.938239789239,6471.179945243434,6650.9174402828585,6723.440731351909,7335.804378628894,6361.309663365711,5795.600351538345,6231.546145817083,6484.632893375342,6419.5993751930855,0.40672856320586104,0.1946866795701796,0.20711067807769595,0.21814073348235768,0.089442339049429,0.17487055535265028,0.167533004645314,0.1964913020630959,0.059268728183544825,0.17605244101885925,0.28886461695691434,0.2103296363334229,0.2163336219037796,0.23461009594056698,0.07583774462311914,0.36616660693325276,0.3264442659331955,0.273549504540948,0.16961272499026597,0.43572208680932323,0.06896475935608931,0.3330000017986845,0.3108127910719114,0.26817240591085856,0.2094331594135274,0.17036745751242288,0.16703971348971153,0.20406764239118455,0.33366779206825775,0.11996603742533551
9,6406.998787993453,321.6728132717435,0.196572222754942,6424.945277335778,6568.17385912338,6549.555255329518,6513.662074207703,6695.076416211031,6617.2552515751095,6404.434485597838,6024.668121109066,6524.308835832748,5745.783720042788,6426.87778815227,6608.960359501863,6217.1258263712,6012.123343204734,6684.673080840149,6505.715905456346,6499.543561847334,6677.735004479001,6302.151587149264,6711.68098239499,6859.030798983149,6471.179945243434,5804.599160585122,6162.133836137583,7222.410919930844,6304.5317603945605,5795.600351538345,6053.685556380558,6484.632893375342,6337.707681472548,0.2784778884643394,0.17271089988148355,0.22760519430417886,0.22364118197899058,0.1710452547259954,0.09912957920752731,0.20774997583513302,0.12015443233208685,0.13295358748988084,0.16263671440063007,0.2857196368872704,0.23389468504319738,0.16351788445701654,0.1633257805300175,0.04022820624324444,0.3503007511994526,0.3782231774438362,0.23206048505392207,0.12474901473274752,0.37178854935264494,0.020755813365228373,0.26818699666071405,0.3200170498882353,0.23662639691633283,0.19441483035438462,0.12305811595013215,0.09260692755652207,0.13624995212718052,0.27883079219962503,0.0865069280663085
