Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,9699.125382829176,427.5295614324203,0.0,9939.685577702901,9417.67892656035,9461.25666502827,9791.552945469834,10003.51125343168,9646.41747159179,9108.829285671136,9578.052713572646,9914.150922061168,9213.312834768247,10056.323764348435,9328.419552169456,10493.94770142795,9458.70593960882,10165.27385609657,10033.046733062274,10178.395609324645,8741.004641651085,9662.001576930927,9949.882116134268,10098.730278071891,10100.765126526227,10030.860337205357,10039.884459440655,10087.576073513286,8971.485205560963,9120.210149976429,9418.873070160946,9088.501124295595,9875.42557351152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8742.785661163633,484.6835453150133,0.06666666666666667,9389.588794460871,7664.067457251504,8510.77035325742,8756.181425263216,9471.87552591471,8231.46573021145,8330.740054630709,8902.239881960613,9193.280628014882,8389.01026165277,9095.360027766214,8348.926251570498,9264.67595692507,8941.298052428316,9558.104742582165,8896.913321380403,8347.990519868366,8488.395705768473,8439.484790178536,9242.838850839,8629.043944201638,9242.929051967654,9114.445306744645,9188.37248193565,8575.220156500462,8351.985461360138,8555.372125444841,8438.559623390045,9088.501124295595,7635.932227143112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7944.559297296509,445.2351631584199,0.011766035693567349,8291.011494080018,7263.140485357376,7393.893416283917,7511.286363877187,8614.29526079021,7459.143883093926,7560.406688606198,7781.0148969674365,8466.967562864771,7741.47754626451,7917.838269647643,7773.009061885465,8532.631059658395,8376.001579999747,8652.28184161965,8386.271947704578,7768.486079931269,7660.191295726635,7964.640359870386,8563.623622638705,8517.162141789408,8272.600586737062,7817.29300945493,8384.488023209167,8001.242753565843,7517.729065510114,7279.825371320658,7723.729991175979,7989.332793858321,7155.762465405736,0.0,0.0,0.012145390909449504,0.0,0.0,0.047902204805090304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23591568760142964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057017787491051,0.0,0.0,0.0,0.0,0.0,0.0
3,7345.981375385336,575.8622170569926,0.028190593863871148,7531.92894478028,6480.730239307974,6626.575148890423,6933.601750901566,7933.335324394148,6529.933029479368,6954.2152636820265,7159.842951641986,7714.955757652281,7023.890589071949,7234.657668904302,7119.8861703275115,8532.631059658395,7494.178554490712,8514.129274148832,8010.020730460649,7295.391526337499,7046.300519597544,7203.961931831109,8027.990448905038,8249.491581467664,7765.047486272466,7817.29300945493,7790.745337602844,7455.524826398034,6865.004848592284,6713.867466868802,6942.320920674464,6956.02788473191,6455.961015033093,0.0,0.0,0.0,0.0,0.17462048170427244,0.0,0.0,0.0,0.0,0.0,0.04793743577310611,0.0,0.0030451910826135332,0.0,0.0,0.0,0.05381659894363609,0.0,0.0,0.0,0.09273610961355618,0.0,0.17948876715405357,0.17005620399115376,0.0,0.12401702765374287,0.0,0.0,0.0,0.0
4,6852.829199118138,600.9470521877407,0.02884026510381058,7346.930827383394,6064.494881732541,5733.802201237839,6462.578003169894,7368.140678081401,5826.354503634138,6954.2152636820265,6554.239775712558,7334.182506315358,6447.777683604476,6716.584124987309,6668.181714888812,8192.838718200914,6944.006700455368,7712.142727845547,7322.986866185869,6764.153944679331,6686.65373459213,6693.514353556394,7513.348773123907,8048.366169335148,7339.937222513671,7329.667057773969,6915.858155893509,6929.923722279287,6347.014224603214,6109.224446670851,6646.790445039008,6508.079828517133,6102.8867178491555,0.0,0.0,0.0,0.012070895338883258,0.0,0.0,0.0,0.0,0.012722351134492119,0.0,0.0,0.0,0.04876873626792545,0.0,0.0,0.0,0.0,0.059921135725839965,0.0,0.0,0.20455324006018938,0.08767750717608612,0.17761050907160933,0.10283454626918208,0.0,0.03177475620747472,0.0827777176665919,0.0,0.0,0.04449655819604294
5,6391.097974897549,658.5808188664365,0.056535899811876594,6333.83330083637,5816.390752667853,4719.3679662763125,5640.00416755559,6964.1988592212665,5525.633648152666,6523.997039654947,6063.652164241337,6902.2007980127955,6212.664865125977,6195.89860893071,6262.7872222288515,7203.329523417032,6517.257860628774,7471.656072519715,6561.41550494695,6711.350054663106,6565.6828323518785,6270.96942351597,7066.351338353239,7833.073728771065,6801.774867175236,7329.667057773969,6465.372811840505,6546.459490317151,5663.842927087709,5406.385341302092,6436.594841443887,6049.923577588083,5671.202600325415,0.14994318749098942,0.2942197618121716,0.024540612002780467,0.008070791463885636,0.0,0.0,0.1305318907469998,0.12220420208756426,0.0,0.0,0.0,0.0370513885379299,0.11011994570388914,0.0,0.023712873823073476,0.0,0.0,0.0,0.0,0.0,0.18676672753465165,0.0,0.18081866186747717,0.1823441257895792,0.0,0.0,0.09507540316294574,0.06355243644300279,0.07195248533293794,0.015172500556419714
6,6025.630707299908,657.8875407529972,0.06876092838911017,5866.468907821945,5473.757346834358,4537.034327164692,5353.651119248492,6694.910357949679,5525.633648152666,6162.380619795743,5474.629962174429,6520.138447111559,5874.650738066002,5724.52349878067,5915.314186412925,7077.656318193455,6114.885068414281,7018.800292765225,6390.996737854995,6354.428144758071,5962.015437466367,5910.807375171042,6722.133766616369,6784.608900259118,6534.449531022635,7329.667057773969,6091.400416921151,6319.767676604362,5236.11998636346,5007.2510589862995,6324.64534080152,4988.866136655733,5477.328812856028,0.0,0.2865240275213023,0.055106077655007066,0.09281837008827963,0.0,0.0,0.08015712493086104,0.05174177340991569,0.3443039966068092,0.1866487295877603,0.013273625962914934,0.006093136982635145,0.12862384926768658,0.0,0.07850429188806815,0.0,0.0,0.0,0.035547262665035016,0.0,0.12194115599891098,0.0,0.1912359809110917,0.13318946147045535,0.0064935609452313175,0.06673449254983606,0.10456059851134263,0.002119054816648817,0.07387170481722727,0.003339575086286221
7,5693.124553244846,714.4850766342859,0.11833240461662427,5319.218323862888,5087.823297260521,4218.3228752652685,5277.43028491679,6423.0028209468655,5109.920857398985,5937.409047254462,5057.194682248475,6012.881664410678,5391.911442694332,5724.52349878067,5576.058089281491,7039.4932100712795,5681.795147929067,6405.090334826014,6045.660006693162,5961.506984622147,5775.936794779238,5427.062560902008,6588.038077163243,6784.608900259118,6291.486701759478,7177.723215458372,5797.138358700127,5825.256022557342,5146.877756310834,4655.56071886716,5832.495242465423,4656.566611177366,4565.74306848253,0.33636405238222733,0.32358761813907444,0.20696503472277028,0.08992045418490076,0.0,0.18601709539605588,0.0609691937829456,0.06296740910570979,0.34560949684629017,0.11921081659673183,0.0,0.056108026560698326,0.15042750517018627,0.005291078569658726,0.0,0.0030211238549824938,0.3179068087990179,0.2809613482667896,0.07304715563091686,0.0,0.12317656679991745,0.0,0.13944010651362662,0.17794861407995172,0.0,0.0,0.06743080954405131,0.16643482537244844,0.059031208213404414,0.19813578996637216
8,5321.4103774010355,728.9715032906556,0.1260520372632771,5319.218323862888,4527.85113763956,3543.767830853143,4730.038653836992,6113.38894232197,4665.503154439801,5774.113053359897,4807.114680653831,5402.502529898262,5110.956144117412,5412.185682381108,5211.116703440019,6581.201848426029,5270.44590655724,6405.090334826014,5740.991858487814,5260.245818672876,5546.890400507036,5136.680640541914,6267.316214090042,6200.855487000723,6291.486701759478,6193.836022063006,5391.311934857578,5822.0361247557485,4703.431806727284,4568.343876298324,5257.283152844954,4355.527987024439,4031.5783697857078,0.3512564615881638,0.3368815526597749,0.03877617709890913,0.029101233287179132,0.007358513928944399,0.14870362212961738,0.0,0.08832740996022238,0.02316752440026255,0.14770605805960252,0.09494673614113788,0.07728498276267087,0.014910456661997628,0.40180665198270227,0.0,0.0029965651722693707,0.25920515865316635,0.020225069638520145,0.06413715539012538,0.3570256880737669,0.12826345304284778,0.39672930941779716,0.0,0.19244312504781963,0.3760936763720896,0.0,0.0,0.14069005165101753,0.08352448477770893,0.0
9,5060.1367116723495,662.7329698125277,0.15485649002377747,4903.007298910367,4524.612542086383,3543.767830853143,4730.038653836992,5757.1184939837885,4525.344778064611,5731.674375737749,4305.136441869143,4840.387081835441,4902.250785375543,5253.1033416172195,4894.7404975456575,5879.432197422853,5220.958204397067,6285.502846452668,5552.041322425444,5260.245818672876,5440.807213929094,5101.26425225161,6017.25169047161,5659.572002795776,5906.832749173674,5661.416147558319,4938.024397554751,5327.5244707087295,4703.431806727284,4418.225654142547,4766.586774674671,4005.3916371204814,3748.4100419749484,0.3549593811086947,0.1780127669013926,0.19723776025068726,0.0,0.004960872015300252,0.21425985830921718,0.0,0.097136674685221,0.3449503790057155,0.30489887604235155,0.0,0.008631950236444802,0.0,0.37774012541845603,0.0,0.41249642589120905,0.16600194679259103,0.0,0.0,0.3927628157415352,0.0,0.3722272094980325,0.0,0.10678704961685857,0.3715323759912033,0.0,0.33922578884038346,0.06340644401997028,0.057516172002040435,0.2809498283460192
10,4817.0118974358775,618.8909875775638,0.1822549159690056,4679.600506797522,4070.937198584341,3542.4656909302303,4533.115909982019,5517.1812743488435,4357.677192442718,5438.411510616489,4156.848910582839,4680.235940352093,4675.388671090549,5050.7074216260235,4377.466611687985,5522.515930966887,4751.42791115687,5846.215889659941,5140.955210540591,5149.892950506236,5035.767039787248,4765.713959576815,5641.059897098508,5659.572002795776,5906.832749173674,5284.880739528084,4614.002640914778,5152.753661811454,4703.431806727284,4074.6014029230028,4528.664593756676,3903.6216551359175,3748.4100419749484,0.35507179048638915,0.3707507340844438,0.10005753089388929,0.0,0.0015817682904326052,0.16410886402101799,0.2553144751548593,0.0,0.0,0.4240256951576275,0.0,0.033657693156041946,0.025360276492191032,0.437031017391921,0.40142440172852223,0.40427308818380026,0.32964967719701244,0.3548367337997494,0.13687698932038717,0.4398053955643038,0.0,0.2824201195135905,0.0,0.13259378734678368,0.3766084268788322,0.0,0.0,0.14740188454953312,0.07045204736977288,0.224345082489068
11,4534.212793916264,591.026116347094,0.21221484673418675,4375.82668699794,4070.937198584341,2853.709093619289,3971.2168619410622,5220.079182896514,4023.769726261922,5427.229266223226,4011.1545033845414,4421.896370230474,4675.388671090549,4576.285607375978,4057.1606122673384,5103.5473506421595,4751.42791115687,5015.990058193216,5140.955210540591,4853.693818407779,4750.828741682699,4577.47025204092,5278.165133132232,5423.180825512476,5408.154616764709,4845.5524748790895,4614.002640914778,4570.861861789592,4283.381374869743,4052.012223965632,4219.358975408384,3704.736524738948,3748.4100419749484,0.34187519731159044,0.34522033426407356,0.0,0.0,0.4050731216293649,0.2222309939338418,0.3583342941703447,0.3481955766930614,0.37458428632040186,0.2762069576368172,0.26192415174838296,0.0,0.0,0.433584291635656,0.3683216399050683,0.2676745551864694,0.1496760444286332,0.3291863717310413,0.08697912713544959,0.3703664548225824,0.0,0.4147723215164666,0.06992717293764383,0.04823168593217298,0.3752719025525216,0.1692305194825618,0.0,0.14162627936807232,0.0,0.20795212168338575
12,4291.996131361924,581.9069316945667,0.209328536398707,4132.764626738957,3928.2055489039085,2853.709093619289,3361.0065433770724,5220.079182896514,3778.6768958247358,4974.915469562981,3889.227417783677,3856.5357022451353,4136.651773465073,4134.947436433096,4025.0625858926633,4848.173900897537,4567.169029308133,4409.044659121789,4892.732583231278,4853.693818407779,4510.303495625196,4577.47025204092,4932.827615871509,5423.180825512476,5042.99829205138,4635.9855417193185,4465.573064257094,4355.381019303377,4018.901438334973,3845.4209858381146,3854.988746620784,3704.736524738948,3529.5198712339807,0.31479694956566967,0.35664161622469953,0.41322100169327153,0.194540230117058,0.3922419701481463,0.2099074934441383,0.2769348263590365,0.4013635001114023,0.009955371040564974,0.22200870130234146,0.18740255418103577,0.0,0.2789341555498137,0.4686731150481551,0.39923440698655854,0.2715467982838675,0.12444589485665311,0.3548053974565336,0.0,0.06536597847772173,0.0,0.38678584197613786,0.05717119495610147,0.0,0.4409066951690344,0.1778262053843294,0.0,0.10513244323096062,0.0,0.1700137503979796
13,4070.462390481615,575.9706701593137,0.27285297910241824,3690.4557716770923,3887.982308357239,2582.2943029589715,3232.9157972318244,4982.481483287586,3600.5689440434962,4888.10302021002,3548.4861081088566,3685.789591697927,4126.20306704669,3790.715856378474,4025.0625858926633,4012.2961313295527,4567.169029308133,4220.877711680958,4647.2405426267,4464.106257850808,4150.074595400873,4352.185088452912,4688.935079473729,5412.07513496679,4667.962597709299,4403.079824415968,4295.654821518552,4057.95282456677,3774.98062368968,3728.824541377877,3395.1416772160755,3704.736524738948,3529.5198712339807,0.3527282412502655,0.46251971619554877,0.0,0.22064680516617258,0.39422361038269654,0.22735564012724638,0.2485512439864584,0.3972445708768016,0.3946212651991404,0.20982559638320925,0.3368136794615895,0.0,0.29720483134484094,0.5713529478381381,0.4117359372344358,0.41547891688896965,0.3046133164256068,0.34411943160434155,0.22476273980467204,0.43321678390426316,0.018013224928100938,0.4270586210661552,0.0493603498549027,0.394900983532267,0.406301273017613,0.0,0.4335977491822413,0.08453893070460933,0.0,0.12480296671226042
