Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,184990110.02682838,32257874.158600334,0.42823534906419986,192915721.62225488,165525941.8666423,166809654.08281368,233769153.39618653,114676632.61540245,157761621.2022519,178858862.4523916,137876529.9989493,230690872.61875167,179671719.0922089,186315128.07576936,195982406.8055367,246015677.1036548,154095682.95318323,239574680.94818127,172207232.31516713,158396856.9846502,152915252.12262893,158784553.14248997,175404374.46518266,151404705.67715278,187544032.89411455,214740899.2802691,206339495.17362466,169969385.50674695,243484214.55111307,190959849.58504784,197930075.61820835,217336245.29122534,171745843.36305228,0.12685251704391318,0.18944705643394288,0.1902780094378594,0.5675025586623268,0.42491419541124686,0.5418848506332594,0.4054652651915682,0.4462177950011281,0.5577817980832681,0.75,0.3672734613030622,0.2798719396568256,0.75,0.131897881710725,0.75,0.07706439125723458,0.40432664046700895,0.6725263989449026,0.4347350260250127,0.5,0.4535966436043215,0.4722447902041694,0.6124748321053175,0.5086873992539807,0.3732351125701386,0.3930431584915548,0.22697308002412578,0.5,0.29707411398254197,0.4416915564265628
1,153957123.3964376,30591587.39014306,0.09525505714355648,185189966.1446771,152178202.06662008,166809654.08281368,199262484.7154712,90598901.3677074,157761621.2022519,156758274.6152209,137876529.9989493,155028437.54798993,123712155.5549769,173038300.35645863,138534543.9546771,225970656.0326185,154008421.73681104,158338054.8456803,129135883.36509176,123843482.65051274,151247625.79427567,129404275.31703016,144748913.78531873,151404705.67715278,127749453.42111333,157201125.6462859,184205829.7907598,123482137.38357306,204362423.7646946,184261409.85358775,176321002.4961222,84533385.36163338,171745843.36305228,0.008914517849580198,0.1027020639009319,0.0266039096177354,0.12230363388734916,0.012806588509539089,0.05816752310777382,0.09893257178047163,0.10291217616800868,0.14794133386962907,0.09600093922938084,0.17280586598160697,0.18192026966212366,0.11157734098237328,0.10437486392892145,0.04289847242764907,0.11468734399076318,0.0769268776252654,0.09641244771350949,0.16268997056012927,0.13502021424484567,0.08497790975564332,0.04311032679715831,0.05396697026337544,0.061354479217283646,0.11081987157957665,0.1807236833930917,0.05445131726054757,0.13749964173064855,0.007381636637404354,0.14676695263437745
2,125931909.73792891,27913202.764761467,0.08448376629649527,169894956.45689943,95659838.40271081,166809654.08281368,124937177.22173852,90325497.99080835,134046387.81127726,142900549.52182493,120424383.2099693,130460564.48255882,114164242.7417445,118481883.19867738,109430571.43351752,179087328.8063137,99642852.71451513,93940574.23380455,91222036.79416953,117886387.28598753,134187457.9783603,76010151.88406752,143962657.44421098,122870722.75713986,127749453.42111333,135783667.33098215,154217621.8607185,118103533.32721579,179100681.7372405,168469224.02658445,133143807.20287085,84533385.36163338,100510041.41639888,0.023838560544677784,0.023789269789950725,0.030597477821590058,0.10650104584695178,0.04813751466614258,0.09308842539489784,0.045592525349717666,0.10888089116457356,0.11110042672041806,0.08662666954340013,0.10905407317247615,0.1758712109668197,0.158692462232557,0.07669479540207218,0.014040397974954127,0.13891293779714076,0.1476034102818676,0.091223610640769,0.07009136951334251,0.09636175308580588,0.12649066797704053,0.03831556667061617,0.047661894573291626,0.026399187604164452,0.007360956700561478,0.1911719912707435,0.14075336357875812,0.14291018875545153,0.007871012800728041,0.04887933105337788
3,99433311.10571857,20762381.815882806,0.09454490420772199,107338169.74817897,95321552.31216635,111489231.9908128,77388967.35701291,54934884.575246304,117554511.46435799,113210347.31146346,98337559.7267351,125064843.39422254,109656575.72945207,83279319.96150473,101462973.31750466,115647795.28087558,99642852.71451513,89862518.8203798,90666932.56017971,79579551.29366362,89307013.82884951,73812168.67763081,116562532.52648458,103215318.56836739,118103226.0114788,72862848.24944937,92518710.07136878,107459009.16068155,155275170.45239136,136358388.67064008,72057002.27819213,79731686.0873574,95297671.0303938,0.13357080592130494,0.0035869764614286943,0.04871332960932155,0.01939030213877342,0.12193555141010004,0.035274395804648556,0.03708621205966741,0.07500882418340055,0.04806245923820516,0.17457515394924564,0.1145823459519503,0.12709151072224384,0.1328956990097778,0.1044016983297472,0.059197335574144236,0.11061157871549177,0.23007937315543212,0.10024207104022805,0.13852888044662715,0.050331385657021034,0.19314915563095592,0.015717357545462336,0.09757852573020709,0.06804010542246378,0.04739394263402262,0.11079903259999101,0.15874954716164918,0.07447643651024063,0.18588538098252413,0.019391752635383768
4,78952401.87322113,17718228.572915066,0.10619544198591152,93486022.87323591,74809536.9711393,103244447.87601312,67506096.77059402,54934884.575246304,98295220.03773704,89775183.76821905,69185770.5126215,57319137.2010356,61146098.702211,79662114.0965416,89888056.13791923,115647795.28087558,99586047.92514175,72261108.85725842,72320159.32037787,78213442.17991443,61713576.46551116,65089696.403189704,60784207.76502178,103215318.56836739,63948679.44218693,72862848.24944937,55597827.0437586,86143041.368544,106674116.1323992,108014970.63900429,54240305.81698556,72318627.10994339,80687718.10619073,0.12179736005052894,0.01651717328558307,0.0997050048539678,0.043436229643494195,0.15496425722050766,0.12324531416900086,0.06723050973569164,0.11009881150981862,0.033773952870326404,0.12770459529457093,0.10207454045520756,0.18495690401455803,0.1393840602647594,0.15304589996632945,0.03990304040761505,0.13097503114872192,0.30911167001921147,0.1564792707894872,0.11287127161143898,0.024176929355916966,0.19129389551324766,0.05255399503458683,0.10522213252798429,0.10165158406615626,0.07290146016207666,0.024391557195423828,0.14184994413776497,0.041313850382765374,0.17167501809063898,0.031557995799965696
5,64310456.14956351,12382707.506138451,0.11891124982112442,55862113.86462199,71184222.38676983,73968228.4254775,40450073.13196434,53314820.04832769,78470872.67333202,89775183.76821905,46273250.703981794,48768108.9822642,61146098.702211,73586080.97623788,72060391.25757061,79245670.54441604,60243113.4531152,62045196.303490125,62820736.60562762,62423892.38810517,48181894.26205557,64456160.97985332,60784207.76502178,91543933.66828844,60447451.48362,61625971.60585077,55597827.0437586,82019007.9587728,74451533.59852882,69699701.48696439,47220276.06124451,61589304.734902754,60058359.62231087,0.062395243810209805,0.09733599404134398,0.12284368911644143,0.07716425037195128,0.30939838295165917,0.13300870665575362,0.11449693604864628,0.16998168816608356,0.05700535904497612,0.08578494272939924,0.07280932168477416,0.2015126094157339,0.13328528778904047,0.1383156264220271,0.03581038374476269,0.1616505738227968,0.2628430811836869,0.03070701505817526,0.10380902690321026,0.047460865019186754,0.17400227151238945,0.14071370163214653,0.12241544103706453,0.09827141458307126,0.12485992383802133,0.029190444414086855,0.13787056178639753,0.08694072433298508,0.15629242695853313,0.0791616005591782
6,55474573.405613214,11734959.999684649,0.11967996750490854,55833127.06248812,69352431.94054526,59044181.16280306,40450073.13196434,51693923.16945959,46733372.07574626,84405728.0113908,41984556.45930404,28536113.516357068,38371367.873719335,59279810.1172715,54188756.95619404,66370251.45349759,60243113.4531152,50955805.65312118,57024723.12359686,39902959.76479412,48181894.26205557,49279837.733443424,60579313.505625114,78053319.71862632,51474284.686893485,55840373.55327355,54707451.609681435,65239004.7765679,67839165.1204314,68842486.36676912,46765226.28141555,56795340.92307559,56269208.70516957,0.024324254952874495,0.13836371719043722,0.12385939460017832,0.08126167223492045,0.2706598597737473,0.10451456119015348,0.1544505134230336,0.21931449402554987,0.04454596053000777,0.10898453818256262,0.12954340407557824,0.18868219315390886,0.16713264559023822,0.07697812652638698,0.054922666181890956,0.13308768471191806,0.19800143499143263,0.06031355415022736,0.1227903198688026,0.03368247406353414,0.12736546378858277,0.17010139622386594,0.10791892043807706,0.10511967002435046,0.1438702300916663,0.0608371164766148,0.10294296608088246,0.10021448874362812,0.1589771210737609,0.07763818278844446
7,45801743.49262382,10696395.467279471,0.10934315994817709,41073442.590746194,49709820.92612903,57911276.0816716,35394019.50739559,36468835.24897695,36504622.147877984,60851370.64390046,37016190.28683421,17186285.319438644,38371367.873719335,40003996.376196176,45457005.35385325,46164747.851605155,55551014.34738202,32422851.745359655,54948616.04832866,39902959.76479412,41974268.33020803,43797094.58749995,51961762.58274749,66330933.654396,36289128.96872304,55840373.55327355,48030430.828339264,54091835.39017935,62513182.943796545,57192490.49363127,32652873.213840887,46587580.59410675,51851927.52376322,0.0742118394233103,0.15433047086490093,0.08759754863792799,0.11009675138395127,0.184474362904811,0.05142914172543138,0.14509744585859685,0.21164338272197852,0.037807290030069066,0.12621530744296958,0.15779654059430898,0.13503029180759635,0.06909829519228593,0.040104147270169435,0.00856879678009244,0.09832535740122966,0.13842237379583047,0.09178540760525843,0.11571533695118895,0.07552635257825996,0.13090813296532056,0.18402355516117871,0.11087899685261551,0.09930369515662554,0.17759832935844871,0.03688179254873712,0.09217024270663614,0.10431575410401632,0.1259120217975636,0.10502583682400393
8,39594029.15367095,10222304.904760964,0.09697422736682428,41073442.590746194,43308724.67960311,48221237.61073745,28241606.280132893,28599563.927566614,36504622.147877984,54210405.65318737,28899943.548905637,15702240.113460548,38322059.87730294,37625097.37650574,31989538.032933272,44891064.29154079,55551014.34738202,25472096.47322704,39753955.84544997,30361623.777438324,37718016.78501391,43129820.279952526,27708906.02837476,62635269.37782271,35751568.18172598,46331751.30224866,40443505.98967372,49471548.96056753,42130219.081231184,52648202.57102463,29601217.114588507,40458685.11935963,51063927.24454687,0.08852733924118922,0.12857955638983617,0.07841609526764436,0.13241674530726427,0.11437118741436428,0.04932835668488088,0.11371062671679168,0.16323661217624225,0.0732164380251662,0.1136611304655436,0.12557366532050257,0.09498871322645303,0.046303228583023284,0.05210581001344798,0.00802829886863433,0.07200823538378087,0.10237774568096544,0.08552886511373047,0.08650054157852043,0.07742938963386806,0.14121438186282703,0.19964921975476801,0.13461938405750212,0.09818551002611468,0.13604863818008156,0.029530355533140977,0.05232868267142661,0.10757258239552053,0.10950881286320138,0.09426067256829569
9,31025512.241943914,8025230.170395134,0.08638635824601351,37249974.34364279,34694511.66221567,26614917.78989918,22623798.58979374,20879122.63057101,31955287.69297997,40441464.692384504,27282533.660182763,15702240.113460548,31390071.738927137,29434080.521608494,22759222.314326543,39763436.928473674,42492106.29316743,22243341.14924372,23101651.545353685,23825413.06391263,26239333.607736114,33506297.832952686,27708906.02837476,45040537.48948357,27900550.13655655,40156346.80502897,26823793.682591587,43982376.03039672,22051215.784314804,45828054.516638905,27734282.259519156,37817489.786078356,33523008.568502083,0.107750883504636,0.10735066888569955,0.04785646279552379,0.14179279745668624,0.09567069193539907,0.017560043493645313,0.08607506446878904,0.15223002327801122,0.08562190975533966,0.10371381806062224,0.09168518002297738,0.06792559687401106,0.07924096536699667,0.08403722017849935,0.01391842190618374,0.07703544274576127,0.07639956184889651,0.050620039851229585,0.05774904297566993,0.06577854830221724,0.1006428967853112,0.18499614093633274,0.11335091302674376,0.12811480107752138,0.10490875068647602,0.034559260871179054,0.07494814303938091,0.08878791917179929,0.08639342977290501,0.06487610830596062
