Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,401.62628489934485,23.036592644483505,0.4282353490642003,425.0754800972362,414.81532213239075,407.94236138607664,404.78010527962675,387.86849795308575,397.05884216851626,345.3132477055883,443.51066746886755,390.6303986296724,372.5015145836075,385.93053294334334,425.92945859142844,424.370323005127,432.61960596648134,380.32280256970296,414.47928251583335,422.5126496138884,381.4132233743233,355.3364265194182,385.0545309499307,424.6244324498907,406.60536761571154,378.0720232202131,436.70565470620807,400.5099970471041,400.2947200068183,407.5768121575232,414.47845352499496,397.8269659543927,384.6288468433469,0.126852517043915,0.18944705643394216,0.19027800943785964,0.5675025586623296,0.4249141954112494,0.5418848506332585,0.40546526519157067,0.4462177950011237,0.5577817980832683,0.75,0.36727346130306215,0.27987193965682733,0.75,0.1318978817107266,0.75,0.07706439125722607,0.4043266404670356,0.6725263989448962,0.43473502602501013,0.5,0.4535966436043205,0.47224479020417426,0.6124748321053105,0.5086873992539814,0.3732351125701394,0.39304315849155425,0.22697308002412933,0.5,0.2970741139825398,0.4416915564265599
1,381.1903670888806,19.774602928998906,0.11366846025316789,380.9094350603314,382.66715278406156,407.94236138607664,382.9908540408997,379.693320110885,370.970723770649,318.3170061665282,424.2462510284029,387.67217384061905,364.3341312576951,373.73416322497206,369.74506017360596,370.2923736585775,407.8233930354205,380.32280256970296,371.59568218395594,384.41622142676414,365.81544011581224,355.3364265194182,365.5435563550508,379.76649697355106,393.5798596585554,354.38409596138854,395.68144633811767,388.567310456025,391.8241811066594,407.5768121575232,397.5064685074275,397.8269659543927,384.6288468433469,0.06613038772971837,0.08258683725550794,0.1443143152687482,0.054167881944157156,0.07526011387807036,0.031652682898778296,0.07657221498064694,0.16160364321015383,0.18496631569681546,0.07026028528037469,0.14296506817399027,0.25395370920085997,0.13143035426187805,0.0,0.13707340653522998,0.1993152267579024,0.04997818153125188,0.0693823853596018,0.15774942050691984,0.17610760244124343,0.06171692065589699,0.0,0.09377854791208193,0.08400792767747883,0.1899170763407465,0.11643206659406151,0.2327894110298397,0.24224044731077166,0.0,0.12370137716231024
2,359.9963031098037,21.004461805574135,0.0978530107480637,373.50886616376454,326.2553182999055,360.38286532175965,343.1862969606303,366.1323290330095,370.970723770649,306.0201342961816,397.41530670310357,369.9220455465126,355.35060560756176,364.12339238666505,337.39393252555936,355.6830158498598,386.07285193640524,356.09854798331077,325.4733737445027,379.81526918503823,350.7602025076817,354.8768641302426,359.45632770200433,377.8030494596725,346.57914090269475,320.6855033164782,382.63297108981874,365.2101038658404,373.3873283081557,390.5268962738143,362.1460755592403,379.9888015216692,362.03095334238145,0.11112449797325119,0.1432830412020162,0.18022951159137984,0.14868311686147692,0.08898677194081038,0.004160026453487631,0.04980365379083316,0.10034623970881451,0.12430830070240473,0.08532400638586918,0.1381802379914198,0.05983054848216631,0.12545821137180727,0.10437349846377347,0.050224407199236834,0.21305481361479245,0.01638126489149637,0.043277657129029236,0.052733286843707025,0.16488169237638647,0.054638737437242374,0.0005744250516452972,0.03549367987521412,0.12078924410435307,0.07247235483078993,0.0987752536662417,0.2716971343317276,0.15172258202264888,0.0,0.12478212614788901
3,331.39901216670086,18.302774220113925,0.10890307964304814,315.01083499973294,320.0396086649563,326.3397097140286,320.70368075734706,343.1444870812447,314.99016805010984,286.53140013135885,370.0010307087258,329.3659369849379,337.8861590490982,313.8180138409401,320.33961672576214,347.6167390960983,316.978736348187,320.5436009649742,325.4733737445027,338.9729094254498,294.81282808337625,330.7576626151306,344.68795500607183,342.571573791241,346.57914090269475,320.6855033164782,344.17515351282424,356.2717211032575,322.70527815105277,331.7151864243813,343.0846515022049,362.4972597819201,353.67044452293663,0.09973075134227519,0.1762791527443595,0.10412332128842289,0.2064733670505026,0.212848949582771,0.045528177335447576,0.02782569760595154,0.021001429658979966,0.06740097819168343,0.10360282085133526,0.18205197653914168,0.0037159180906385578,0.09319151933572088,0.24008878188838195,0.09483644294839177,0.18238333910520385,0.04283538707680528,0.0492434605447188,0.057078812114029626,0.1405878807073634,0.11328372499641426,0.0,0.03741129814487539,0.1573104368139964,0.06404993047114348,0.1880120200261885,0.20498353987536524,0.12137754435219678,0.005573915067292238,0.22426181554184677
4,313.0115820564448,15.838726500654206,0.11631208610320679,299.8944867717954,320.0396086649563,323.54760026128605,320.70368075734706,318.9712126702185,313.8456143638079,286.53140013135885,337.91076729434866,315.0216227151709,310.13059651653776,272.3301342603739,309.1414975159779,316.835122039912,285.4246838401426,304.0356007447941,312.6521413516228,308.29643807253973,290.607443088576,298.7291271089705,300.2165281387185,330.51894455432944,345.40995515468285,320.6855033164782,315.34440640680987,308.31439586113027,314.70387105913346,331.7151864243813,330.2626297425489,323.84256234727013,324.6847005181247,0.10742855094110049,0.1623342209759662,0.041663906601572626,0.27621647823355167,0.26129364199359895,0.08224676025198159,0.10760835643302771,0.03130990709377056,0.0717556594866138,0.09347281796947009,0.2283829310349581,0.08744336671882837,0.09441970476026769,0.25659816192220464,0.1678906605368091,0.11001455577447336,0.09598952270817268,0.0656103548217142,0.05583901364297377,0.07115612958430015,0.055546006383818194,0.1293842098583594,0.02304814336684793,0.09710309629085406,0.05772315948617907,0.12210875834512812,0.18617991067883188,0.06634426222378077,0.047875087402433396,0.23537524757461592
5,293.0106348506914,15.89818080659633,0.13270191076883978,269.46865575512476,296.8744277344936,293.847873906188,276.8809095316681,318.9623804229023,295.93029621117785,271.55753729117885,324.78648045370284,304.8636754284246,292.3701474831513,256.06834640812576,275.1886700863742,295.17941363759894,285.4246838401426,285.7441126056484,307.0486701285215,300.6698054208622,285.9827054579528,266.43122133720607,276.59095634271745,305.58677172121867,305.5085354465233,291.64069885655374,305.33874275383243,308.31439586113027,292.86263487485246,289.965344906337,305.61118975244506,315.4300831660615,290.18967869862456,0.0743912937219768,0.1879388213126191,0.11153735379494825,0.26905641864903546,0.23974983961210988,0.1388871620587216,0.29765432858362856,0.019520468521350597,0.06157540734152138,0.06707107419886554,0.23203444160454878,0.06021275461383449,0.07643286399158425,0.2276823126418454,0.17006856704859535,0.0846302142150201,0.16339707718253993,0.09032301884736907,0.14385547711509605,0.05429075830307283,0.04488573607108471,0.19851368864721347,0.08098250648692118,0.09947114971651573,0.09299206005405092,0.18070041681159238,0.20785089501974932,0.07191212137692532,0.07047661906575661,0.16296247645709971
6,279.62660543911954,15.297215542641014,0.12896923497282722,268.13574013275326,280.6577748211505,293.847873906188,276.8809095316681,283.0901773720098,270.18175304909806,254.8376738121679,299.2981227933346,284.92509214317386,286.8254769835968,245.106015013788,251.42745857251217,277.08270202505196,268.12677623923963,283.7674414534654,283.9716091094183,287.1137535434812,265.34686223848104,266.43122133720607,266.900813472782,285.2262273499711,305.5085354465233,271.2065063654023,285.97625462771697,307.1916521806336,291.0855121341249,277.1556499483117,272.31164429892965,308.9912545727809,290.18967869862456,0.10845363263186208,0.17545706899154304,0.12327628180372237,0.22076940466021622,0.19632752328560493,0.08400504105572501,0.31412636947177686,0.013516356515515441,0.022532980664773196,0.0653899070444621,0.15498223360265911,0.1095077511926607,0.09168759651298777,0.2010688007608727,0.12083411742158803,0.07178672479149141,0.1544271770954038,0.14952447266789048,0.15042615206273222,0.04666255271972544,0.04907752136806294,0.2231434450524219,0.14256317183234193,0.11108063746114745,0.15204600517257535,0.26110860862596136,0.11252475549448174,0.08536349780240418,0.014090500658618443,0.14331676076358868
7,263.7023176515356,16.841672088300975,0.12078893231467086,245.56618024826994,276.5687511768967,279.6693454988676,248.93272397212434,281.00097782208024,270.18175304909806,226.32913898944105,293.74315566423627,258.01764324185285,265.36366912702914,232.57126196597923,251.42745857251217,261.32358872301654,259.3794107620623,257.350864219438,274.29240933548306,284.2135355741405,261.5372459413622,236.70206109405748,266.900813472782,268.5307307661166,271.2799755142902,271.2065063654023,277.33698095517417,281.15411268828865,257.32496028647097,270.2316460841909,227.94692828879948,281.6927940713583,273.29290607524655,0.11850041388681959,0.19711141060905535,0.08952437588505661,0.19569210861042133,0.1575286231640403,0.03821063967547379,0.2607668459125415,0.06186043347667535,0.013506242411936488,0.06424216439734463,0.13100096976621536,0.1182135757697248,0.10632670179940731,0.1803141826371584,0.06989629898445841,0.10788818151275383,0.13600790246597222,0.12502270120209924,0.15056447126961053,0.05064104417120967,0.06069554876887906,0.20500203068913309,0.15239762661870868,0.107831592487466,0.14450911798696175,0.2498003012946688,0.08340472258064778,0.10427767198603138,0.01476471862584389,0.1281653507938105
8,245.13181260755846,16.832806390274683,0.11856444991727307,222.82455130737708,253.24003700315535,239.7638833100149,234.83310282844582,252.8250556087904,269.60199538169917,226.32913898944105,269.3916590119625,224.88703297297945,247.99262719862554,212.27286858586461,214.62867967484232,245.74956192024206,242.0468229835816,243.61131355199615,245.72288656835926,255.4208624770695,246.16413292399804,236.70206109405748,261.28104745829506,256.7586234348077,242.2931259453425,249.35689455457663,258.72839570756076,257.0678862252055,241.99223368510312,258.5066305276545,206.18896913408256,269.2177789226989,268.55451923892406,0.16024834247483505,0.17211549261932774,0.10008225936779126,0.14583646808136091,0.11344996084864378,0.02210924626026719,0.23512965933585234,0.1477419906726221,0.042728035741004845,0.09701292383091295,0.18390358369399917,0.09180992296609898,0.09476210823397302,0.08518414201059563,0.014031063032833978,0.11165171872958699,0.11310581001851103,0.18376405436062393,0.12462961385681673,0.09162247318458067,0.04492960564975479,0.23649041268719206,0.10249789962614247,0.10885861494541138,0.14255274828608558,0.22911678667677848,0.06945236721866173,0.10201789561220431,0.03842919609681772,0.15166910139890566
9,233.23848397889785,13.740199496410465,0.10889845360804125,219.38814188508132,252.0604236685604,239.7638833100149,234.8248483035918,251.58037706328844,240.7755421479725,225.8119485657129,251.27771511172423,224.88703297297945,240.84933927614486,205.30618144703203,214.62867967484232,230.76380989262907,233.4416067381044,218.75334006984386,225.98652966393064,240.06296255062395,231.43312417359786,236.70206109405748,208.41548939395233,238.51750666256237,237.233007205776,244.28010967450652,234.53389303461591,256.6061509547505,219.91583027305376,245.8068340666558,206.18896913408256,250.7282862427816,236.6308951144658,0.15814863741433977,0.14521136229711532,0.05696554889637232,0.12610708053523703,0.10116669738748507,0.04911048322076017,0.20507849106226458,0.1855965627139255,0.02827795187566703,0.10461805211115602,0.17582114018323702,0.09210987417044292,0.12851229940857115,0.09511296068446662,0.018101947401690993,0.09955354247388648,0.12519310370208442,0.16355697323000534,0.08180553419707105,0.07121985409302932,0.053594477279697184,0.22508038583138487,0.05624868701485475,0.0888298827954894,0.13101644614347296,0.16156625314424622,0.034657440540054346,0.08168871819328256,0.06751970042269123,0.1554835198172558
