Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,20.39756854179615,0.18107628643405718,0.0,20.464558385476636,20.50749828059413,20.680639128137678,20.459435375951355,19.94084197920388,20.30809930739267,20.439675903655683,20.306937744752585,20.17394926223074,20.40876656773501,20.44235222056023,20.473781468352097,20.677784874570413,20.45725698466976,20.51144898551175,20.041581175996335,20.428225680629925,20.14531298328589,20.18362062228306,20.070916649273396,20.404468108742613,20.30875815952624,20.599417108221996,20.435841339594568,20.586149977247242,20.60216781868604,20.38841933562962,20.48285306450684,20.546160718640756,20.450137042825528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.178214284015496,0.27242215090190686,0.0,20.464558385476636,20.39706878417076,20.394777844227615,20.237953943048037,19.94084197920388,20.25929951112784,20.381623147410195,20.148237702224268,20.17394926223074,20.17055304688728,20.15255438077504,20.41509667246235,20.29513474596864,20.31761350649814,20.350245240198472,19.93675918851004,20.168124133745433,19.991493605665838,19.863749983885956,19.83466220714672,20.224123421798016,19.141945330585976,20.39243194489806,20.029429555202256,20.415153520088353,20.215715451416692,20.38841933562962,19.797557781907447,20.421470958277556,20.42588394979688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19.924584286954907,0.30666359626623113,0.0,20.356489088511918,19.664750275238376,20.190790367495776,20.071395781342062,19.94084197920388,19.885420500773964,20.19596553693727,20.11893462792722,20.10652433767387,19.80040806218326,19.768853044546077,20.34097378465957,19.954117113145028,20.21182965853614,19.86575051755692,19.57225218942015,19.905994471355875,19.813505044867473,19.395310742720543,19.83466220714672,20.224123421798016,19.141945330585976,20.04470251434007,19.71266204880712,19.995091467614753,20.145150989666842,20.146018996117306,19.120939002236426,19.988606400655648,20.223519105582895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19.711723565337387,0.27617651246529334,0.0,20.0579276204104,19.664750275238376,19.9901929058429,20.07035223514489,19.73971590586578,19.702372027055976,19.727699403718074,19.963743078738496,19.368902089342964,19.80040806218326,19.463854883133994,20.059343960054925,19.954117113145028,20.060863088000367,19.591771780685082,19.49003788067505,19.836903344812058,19.813505044867473,19.395310742720543,19.085657884020655,19.849126741540964,19.141945330585976,19.680946518845246,19.71266204880712,19.644295909011465,19.68287128740628,19.956527536963666,19.120939002236426,19.7597341892481,19.96522906982002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19.36749329089397,0.24794885933115024,0.0,19.656240288664723,19.29891097169406,19.552745853106185,19.522791913271902,19.506643633296182,19.52020752502474,19.58630560791457,19.776517570511754,19.368902089342964,19.32784316590954,19.463854883133994,19.718286720068445,19.314971418220946,19.739361898023915,19.068752934911892,18.817892174876068,19.42074930850375,19.559583592051787,19.01622997397867,19.085657884020655,19.233268981335222,19.083054250652168,19.068663712219355,19.073016563406654,19.644295909011465,19.401599041210375,19.281162823400432,19.120939002236426,19.165456024822973,19.630893011997305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19.003975371904048,0.36348432718931006,0.0,19.5818745683162,19.045759092833833,18.372806905079212,18.932387972623243,18.978306168478287,19.286582632782494,19.444479273762994,19.432039775818303,19.163414432366675,18.918163532028498,18.580750716194864,19.483276288167087,19.070320201070352,19.07022906174435,18.800694170660144,17.8948040963409,19.05653457215564,19.37494651945342,18.78995907222025,18.875583777461333,19.17373226479907,19.011495920073582,18.80060386278272,19.073016563406654,19.49163970566295,18.85127207258022,19.281162823400432,18.617506374483686,19.165456024822973,18.500462715550917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18.5834537208678,0.3773606192484265,0.0,19.174964272301715,18.89236401065497,18.34358040915201,18.881087486583553,18.38887177919118,18.680061048463052,19.016329123843708,18.48204251445559,18.676237027875732,18.808849860277082,18.374061551547655,18.888962578144557,18.646301012637384,18.93749626593763,18.42281163436527,17.8948040963409,18.82473586187093,18.411887871479173,18.11811315686983,18.46639816671183,18.925291011235142,18.571575588827493,18.0766162249482,18.98621002164771,19.221128147509276,18.30487858777602,18.350498007861667,18.250909140660024,18.904817131149873,17.581728035714793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18.210805419438717,0.457919567790411,0.0,18.775411267584918,18.720634004045383,18.188302900110944,18.599419088017115,17.98658302716912,17.985142472396696,18.410556225644985,18.272532092019535,18.259198900083316,18.280957596536737,18.317450989013626,18.797082996896883,18.646301012637384,18.839285247616978,17.95393486633898,17.429026651282133,18.137022074334247,18.222415464935096,17.462166204121527,17.930470664974223,18.538033486207215,18.19532897178415,18.0766162249482,18.606881048030335,18.50396320855566,18.23926000583096,18.350498007861667,17.91713743748685,18.102822093165685,16.579728353531017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,17.75531330401287,0.5676563911001374,0.0,18.74174228552815,18.457579789586802,17.93076315939328,18.05131604275783,17.778197121277316,17.985142472396696,18.410556225644985,17.483028198141255,16.937055645608705,18.280957596536737,17.37659349862508,18.497572843301114,18.363667111710704,18.445657260398114,17.34036671394925,17.364660988499683,17.579915595959495,16.490811962850103,17.067929328487175,17.833227689572457,18.156685138258474,17.866214521343004,17.76850722074503,18.203623310396114,17.96858990801294,17.944782072843967,17.314090993365973,17.207676005356888,17.232760066307744,16.579728353531017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,17.239925445865723,0.6065038075024152,0.0,18.092549870855837,17.81754612110534,16.628248435571713,17.39772809126945,17.75629567300468,17.52766421097813,16.9164918742949,17.483028198141255,16.89730790175643,17.966884138102206,16.666121177937498,17.95484874600847,17.743900493125093,18.34347660500155,17.17306966472622,16.709380310430017,16.848837110073738,16.490811962850103,16.299023407530363,17.44619875300341,17.867041131394306,17.387229915520134,17.482843141334016,18.03910390155935,17.518399109851853,16.837317315762316,17.070508861143892,16.169860894453144,16.279841762106233,16.386204597080006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
