Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,20.39756854179615,0.18107628643405718,0.0,20.464558385476636,20.50749828059413,20.680639128137678,20.459435375951355,19.94084197920388,20.30809930739267,20.439675903655683,20.306937744752585,20.17394926223074,20.40876656773501,20.44235222056023,20.473781468352097,20.677784874570413,20.45725698466976,20.51144898551175,20.041581175996335,20.428225680629925,20.14531298328589,20.18362062228306,20.070916649273396,20.404468108742613,20.30875815952624,20.599417108221996,20.435841339594568,20.586149977247242,20.60216781868604,20.38841933562962,20.48285306450684,20.546160718640756,20.450137042825528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.25766010933089,0.20207816534849773,0.0,20.275457651286064,20.191374986814658,20.52350133119328,20.459435375951355,19.883499820122157,19.80963432862406,20.35922279092862,20.164643138667607,20.17394926223074,20.362615196426738,20.430524973132183,20.271538413306423,19.969027141083888,20.272731681005254,20.283063257513714,20.041581175996335,20.428225680629925,20.138997168315672,20.18362062228306,19.97221595366172,20.366995861538697,20.30875815952624,19.871074463268954,20.435841339594568,20.503633301822372,20.58227276145119,20.38841933562962,20.45438382592093,20.219902397183077,20.40366188481759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.12558738442609,0.21639572803622786,0.0076220510194818045,20.275457651286064,19.83748550778164,20.276157116464223,20.238728207229016,19.883499820122157,19.80963432862406,20.24161866366458,20.164643138667607,20.17394926223074,20.362615196426738,20.116379379067016,20.243427337759968,19.969027141083888,19.804441369513864,19.95310379884891,19.808734269216725,20.26738849648578,20.118534330796212,19.634301738935033,19.97221595366172,20.288288800572527,20.30875815952624,19.871074463268954,20.31616950697021,20.503633301822372,20.047698787544267,20.348077443881227,20.34814782256919,20.219902397183077,20.364528141578734,0.15015863373059893,0.0,0.0,0.0,0.0,0.0,0.05089652187908542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011789709586614988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015816665388154797,0.0
3,19.971694035704207,0.2116473921007836,0.006138335763358934,19.958615266302235,19.83748550778164,20.059389740372435,20.1969628303281,19.883499820122157,19.80963432862406,19.830485912279855,19.933501496721387,20.114185436645503,19.987465274573488,19.919573536063364,19.614792437393653,19.603346173227248,19.804441369513864,19.95310379884891,19.808734269216725,20.184256982856837,20.041578333268717,19.634301738935033,19.791142680009248,20.197876054772188,19.964271402107745,19.871074463268954,19.92913234768481,20.439508842651517,20.047698787544267,20.348077443881227,19.802254257369324,20.219902397183077,20.364528141578734,0.0,0.0,0.0,0.03180349067103585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028956877891501493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12338970433823065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19.755343826812844,0.23199553178528812,0.002555342288571633,19.958615266302235,19.83748550778164,20.059389740372435,19.904514386600574,19.70792162990826,19.80963432862406,19.804197834063906,19.816246788309016,20.04188471074793,19.656343816223163,19.919573536063364,19.300607049457067,19.272728593612566,19.804441369513864,19.35716264683403,19.808734269216725,19.885488517623713,19.742912958064586,19.634301738935033,19.791142680009248,19.67436950465346,19.536272729533923,19.233834664105462,19.92913234768481,20.115035654574974,19.489362668471944,19.972232086727978,19.69730855379845,19.915310282424347,19.984128944146455,0.0,0.0,0.0,0.0,0.0,0.0,0.00027929191033978747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763809767468092,0.0
5,19.654127839343612,0.2874727132615944,0.0,19.667179228284418,19.77652872832417,20.01482580625349,19.904514386600574,19.51212520532029,19.80963432862406,19.735216284740158,18.72828582567888,20.01594801023261,19.656343816223163,19.787137420948692,19.244027323113652,19.272728593612566,19.713470287593744,19.35716264683403,19.808734269216725,19.649386388914042,19.334518636734387,19.634301738935033,19.744001743421006,19.67436950465346,19.536272729533923,19.233834664105462,19.70869546167218,20.115035654574974,19.489362668471944,19.90344604732149,19.69730855379845,19.915310282424347,19.984128944146455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,19.517640741824714,0.36455061130028366,0.004886736014050413,19.557678354216147,19.76356946471874,19.70488034766493,19.904514386600574,19.51212520532029,19.693313265185182,19.408091405544557,18.72828582567888,19.732033032819608,19.513933502369053,19.787137420948692,18.224094660482443,19.272728593612566,19.262497706499627,19.335316642128333,19.758843032782803,19.552805791448808,19.334518636734387,19.634301738935033,19.219478346333577,19.608915097062418,19.503437963923364,19.233834664105462,19.420798795482835,20.115035654574974,19.489362668471944,19.90344604732149,19.527217574062536,19.842897485565658,19.984128944146455,0.0,0.0,0.0,0.01036954418152462,0.0,0.0,0.02207203174944276,0.05637858471722193,0.0,0.0,0.0,0.04320022262658084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014581697146742218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,19.36935508680424,0.3759809282069142,0.0018420826317139787,19.557678354216147,19.762827438077426,19.611927654001878,19.588812864206922,19.51212520532029,19.458633861877697,19.408091405544557,18.567230773851776,19.28025567813742,19.513933502369053,19.787137420948692,18.224094660482443,18.819455020266,19.262497706499627,19.035965826456465,18.995137959535,19.521314553338907,19.09068088673204,19.634301738935033,19.219478346333577,19.35776045266958,19.278324874171357,19.021624392749565,19.420798795482835,19.752637720975365,19.489362668471944,19.90344604732149,19.527217574062536,19.493770276944996,19.984128944146455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003421375850931013,0.027321577448793356,0.0,0.0,0.0,0.0,0.0,0.0004661567273862723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024053368924308722,0.0,0.0
8,19.186244243597915,0.4605747795152522,0.018790745981435604,19.46960523678506,19.762827438077426,19.102240378738447,19.45763002275626,19.10478731971648,19.458633861877697,19.193458744192103,18.50371972730119,19.28025567813742,19.513933502369053,19.787137420948692,18.224094660482443,18.296952576927975,19.262497706499627,18.96829393938111,18.995137959535,18.45527162287774,19.09068088673204,19.634301738935033,19.14272500213521,19.1880967105862,18.746972967051978,18.36216676536344,19.018118395001597,19.389980594766502,19.489362668471944,19.90344604732149,19.307098513876916,19.493770276944996,19.984128944146455,0.0,0.0,0.0,0.0,0.0,0.07490177421610798,0.04798765437372083,0.0,0.0,0.022306661642134473,0.12250645939500032,0.0,0.0793206236408943,0.0,0.0,0.03411051000389968,0.0,0.0012448088601115332,0.0,0.0,0.05733730034909478,0.0,0.06154268071247987,0.055772002519175495,0.0,0.0,0.0,0.0,0.006691903730448921,0.0
9,18.998541074356538,0.5425850686418088,0.03385452404636987,19.46960523678506,19.652896447380595,19.102240378738447,19.310523789015132,18.64229612985752,19.458633861877697,19.193458744192103,18.19916070911062,18.409185255872313,19.513933502369053,19.787137420948692,17.87384372354752,18.296952576927975,19.059668883868046,18.20637152723881,18.995137959535,18.45527162287774,19.05895976120546,18.510724156799107,18.411585930822344,19.1880967105862,18.62314040356083,18.36216676536344,19.018118395001597,19.291920376767923,19.439350013262853,19.713440282466742,19.302255491688072,19.493770276944996,19.9163858960843,0.0,0.0,0.0,0.05857451838966635,0.0,0.0,0.039971186827015115,0.10131078213610185,0.0,0.015560732732675686,0.07653329591152831,0.0,0.1410708192692741,0.0,0.1042439234973171,0.0,0.0,0.0,0.0,0.0,0.1637026320853283,0.06832089404120212,0.1368601731229138,0.0,0.0,0.0,0.05199106356094149,0.03833341258038716,0.019162287236744676,0.0
